FID,Country,Observation,Evidence,Total_no,Location_Name,Description,Source,Contributor,Assessment_Year,WebLink,Lat,Long,Closest_Lat,Closest_Long,Combined_Lat,Combined_Long,Comments,Data_Sensitivity,Data Request Info
14996,South Africa,Tourist record,Photo,2,Kgalagadi Transfrontier Parkand surrounding areas,Kwang,Tourist photos,MGL Mills,2012,NA, , ,-25.29921,20.52925,-25.29921,20.52925,Female with cubs,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
14997,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2012,NA,-26.392,20.52955, , ,-26.392,20.52955,Female - cubs (>12m),medium,
14998,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2010,NA,-26.185425,20.529912, , ,-26.185425,20.529912,Single female,medium,
14999,South Africa,Tourist record,Photo,2,Kgalagadi Transfrontier Parkand surrounding areas,GP,Tourist photos,MGL Mills,2011,NA,-26.153987,20.529948, , ,-26.153987,20.529948,Siblings,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15000,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2010,NA,-26.350218,20.530102, , ,-26.350218,20.530102,Female - cubs (4-6m),medium,
15001,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2010,NA,-26.350218,20.530102, , ,-26.350218,20.530102,Female - cubs (4-6m),medium,
15002,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2010,NA,-26.154988,20.530147, , ,-26.154988,20.530147,Female - cubs (10-12m),medium,
15003,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2010,NA,-26.393807,20.53217, , ,-26.393807,20.53217,Female - cubs (7-9m),medium,
15004,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2011,NA,-26.247165,20.53291, , ,-26.247165,20.53291,Single female,medium,
15005,South Africa,Spoor,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2011,NA,-26.170533,20.534508, , ,-26.170533,20.534508,SM,medium,
15006,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2010,NA,-26.1619,20.536142, , ,-26.1619,20.536142,Female - cubs (10-12m),medium,
15007,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2012,NA,-26.401405,20.537638, , ,-26.401405,20.537638,Female - cubs (>12m),medium,
15008,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2012,NA,-26.404968,20.537925, , ,-26.404968,20.537925,Female - cubs (>12m),medium,
15009,South Africa,Tourist record,Photo,1,Kgalagadi Transfrontier Parkand surrounding areas,1km N LDR,Tourist photos,MGL Mills,2015,NA,-26.163543,20.538059, , ,-26.163543,20.538059,Single male,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
