from_core,to_core,path_length_km,accumulated_cost_raw,status
1,9,99.87005768509856,127228.984375,OK
1,13,236.37972567695635,283807.1875,OK
1,17,242.7401153701835,360643.15625,OK
9,13,26.798989873219607,43928.1328125,OK
9,17,58.07106781186323,92298.7890625,OK
13,17,98.01219330881582,149698.390625,OK
17,24,32.24264068711808,53852.23828125,OK
18,24,9.41421356237589,23813.447265625,OK
18,28,158.0416305603464,257074.671875,OK
18,33,117.98275605729712,193014.03125,OK
24,28,21.00000000000093,31310.826171875,OK
24,33,39.698484809838924,62727.453125,OK
24,38,104.72792206136147,161990.515625,OK
26,27,108.56854249493257,205056.625,OK
26,31,24.31370849898871,44784.984375,OK
26,32,117.98275605729822,239837.046875,OK
27,30,203.45584412272535,330923.28125,OK
27,31,318.7523086789904,627627.5,OK
27,32,449.10764773831977,884418.0,OK
27,41,158.19595949289376,289308.5,OK
28,33,21.414213562380546,35992.265625,OK
28,38,35.55634918609702,62567.73828125,OK
30,36,30.99999999999907,46143.203125,OK
30,40,136.26702730475913,212580.21875,OK
30,41,169.9066376115501,282551.28125,OK
31,32,64.72792206135018,116792.046875,OK
33,38,41.82842712474805,66421.8671875,OK
36,40,63.840620433562016,106041.2734375,OK
36,41,148.78174593052134,240797.453125,OK
36,43,109.66904755831357,245200.375,OK
38,40,25.556349186110793,42405.1796875,OK
38,42,29.698484809835655,53316.67578125,OK
40,42,21.82842712474449,50722.1328125,OK
40,43,134.19595949289072,280097.5,OK
40,45,136.30865786509838,281541.3125,OK
41,43,119.36753236814607,257233.515625,OK
41,45,148.69343417595385,414047.21875,OK
42,50,59.69848480983516,97096.4765625,OK
43,45,31.79898987322179,71703.15625,OK
43,49,150.38477631084803,314540.84375,OK
45,49,111.38477631085007,236849.875,OK
45,50,275.7350647362939,507947.1875,OK
45,53,268.0121933088206,653113.1875,OK
49,53,125.14213562373784,346942.9375,OK
50,53,261.0782104868039,635171.3125,OK
