from_core,to_core,path_length_km,accumulated_cost_raw,status
1,9,101.041630560351,127165.3984375,OK
1,13,210.86500705120673,285425.15625,OK
1,17,238.01219330882424,313128.96875,OK
9,13,26.798989873218513,45077.7734375,OK
9,17,57.6568542494904,77328.109375,OK
13,17,99.2548339959373,129682.625,OK
17,24,32.6568542494899,43852.9765625,OK
18,24,9.41421356237589,21160.47265625,OK
18,28,153.4852813742399,166076.625,OK
18,33,117.98275605729823,128493.203125,OK
24,28,21.00000000000093,21697.189453125,OK
24,33,39.69848480983784,41131.984375,OK
24,38,105.14213562373031,114962.8046875,OK
26,27,110.52691193458296,186498.203125,OK
26,31,24.31370849898871,39981.796875,OK
26,32,117.98275605729711,231092.421875,OK
27,30,205.11269837221295,242984.6875,OK
27,31,322.6518036156062,584652.5625,OK
27,32,452.17871555018485,826087.6875,OK
27,41,158.1959594928913,249226.28125,OK
28,33,21.00000000000745,23498.037109375,OK
28,38,41.52691193457971,49871.37890625,OK
30,36,30.99999999999907,31000.939453125,OK
30,40,136.26702730475776,140072.8125,OK
30,41,169.90663761154985,201885.59375,OK
31,32,64.72792206135018,108092.453125,OK
33,38,39.69848480982989,46045.03515625,OK
36,40,63.84062043356638,69844.3515625,OK
36,41,149.1959594928918,177982.296875,OK
36,43,111.7401153701843,194130.171875,OK
38,40,25.556349186109152,30591.373046875,OK
38,42,29.698484809835655,36276.1796875,OK
40,42,22.242640687117582,41716.85546875,OK
40,43,137.6101730552651,210503.75,OK
40,45,141.06601717798057,209942.984375,OK
41,43,119.95331880577162,226678.71875,OK
41,45,193.16652224136794,360009.09375,OK
42,50,51.41421356237216,54112.99609375,OK
43,45,33.384776310845695,56642.765625,OK
43,49,147.89949493660862,266359.625,OK
45,49,111.79898987322426,200675.859375,OK
45,50,276.9066376115472,312998.71875,OK
45,53,316.80613254816507,585042.6875,OK
49,53,125.97056274848404,337558.90625,OK
50,53,279.2914139224044,518498.0625,OK
