scenario,projection_fraction_of_2012_2024_change,output,minimum,maximum,built_scaling_bounds,lights_scaling_bounds,fixed_cores_retained
low_growth,0.0,C:\cheetah\gdb\cheetah_working.gdb\resistance_future2030_low_growth_balanced_fence,1.00902267360687,106.506536722183,"[0.0, 10000.0]","[-0.0273736622184515, 652.667907714844]",23
continuation,0.5,C:\cheetah\gdb\cheetah_working.gdb\resistance_future2030_continuation_balanced_fence,1.00002264618874,105.606536388397,"[0.0, 10000.0]","[-0.0273736622184515, 652.667907714844]",23
high_development,1.0,C:\cheetah\gdb\cheetah_working.gdb\resistance_future2030_high_development_balanced_fence,1.00002263212204,109.856584846973,"[0.0, 10000.0]","[-0.0273736622184515, 652.667907714844]",23
