species_1,species_2,hotspot_definition,species_1_threshold_head_per_km2,species_2_threshold_head_per_km2,overlapping_hotspot_cells,percent_of_species_1_hotspots_overlapping,percent_of_species_2_hotspots_overlapping,jaccard_overlap_percent
cattle,goats,at_or_above_species_90th_percentile,17.470306396484393,11.702543258666996,140809,56.23474909642764,56.23474909642764,39.11567554954289
cattle,sheep,at_or_above_species_90th_percentile,17.470306396484393,8.201952743530278,46841,18.706843187763333,18.706843187763333,10.318560014450963
goats,sheep,at_or_above_species_90th_percentile,11.702543258666996,8.201952743530278,27519,10.990235428023723,10.990235428023723,5.814638970061551
