from_core,to_core,path_length_km,accumulated_cost_raw,status
1,9,99.87005768509718,121045.328125,OK
1,13,209.6934341759529,268674.1875,OK
1,17,237.18376618407834,299186.53125,OK
9,13,26.384776310845695,40372.6796875,OK
9,17,57.6568542494904,74173.734375,OK
13,17,97.18376618407116,124119.671875,OK
17,24,31.41421356237216,41146.1640625,OK
18,24,9.41421356237589,19038.03515625,OK
18,28,152.65685424949368,165442.78125,OK
18,33,117.98275605729931,127717.5078125,OK
24,28,21.00000000000093,21870.6953125,OK
24,33,39.69848480983784,41488.86328125,OK
24,38,105.14213562373031,113910.046875,OK
26,27,109.69848480983455,187140.21875,OK
26,31,24.31370849898871,40053.66015625,OK
26,32,117.98275605729714,223807.21875,OK
27,30,203.87005768509235,240302.890625,OK
27,31,318.75230867898716,566874.875,OK
27,32,444.1370849898281,803563.3125,OK
27,41,158.1959594928932,241390.859375,OK
28,33,21.00000000000745,23145.236328125,OK
28,38,38.041630560343044,47448.4140625,OK
30,36,30.99999999999907,31000.0,OK
30,40,136.2670273047575,141019.109375,OK
30,41,169.9066376115501,203755.21875,OK
31,32,64.72792206135018,108063.5859375,OK
33,38,39.69848480982989,45037.03515625,OK
36,40,63.84062043356638,71342.875,OK
36,41,148.78174593051912,181096.640625,OK
36,43,111.7401153701843,177705.953125,OK
38,40,25.556349186109152,30611.716796875,OK
38,42,29.698484809835655,34762.52734375,OK
40,42,22.242640687117582,37190.859375,OK
40,43,134.19595949289072,193381.65625,OK
40,45,136.30865786509867,193007.421875,OK
41,43,119.95331880577162,216739.703125,OK
41,45,189.40916292848942,340468.90625,OK
42,50,51.41421356237216,54785.75390625,OK
43,45,32.384776310845695,51093.5703125,OK
43,49,151.213203435592,253343.09375,OK
45,49,111.79898987322453,195436.359375,OK
45,50,276.32085117392,310683.71875,OK
45,53,284.5807358037492,551555.0,OK
49,53,125.14213562373757,312042.21875,OK
50,53,275.19090885901113,483160.4375,OK
