scenario,from_core,to_core,cost_2012,path_length_km_2012,cost_2016,path_length_km_2016,cost_2020,path_length_km_2020,cost_2024,path_length_km_2024,cost_change_2012_2016,cost_change_percent_2012_2016,path_length_change_km_2012_2016,cost_change_2016_2020,cost_change_percent_2016_2020,path_length_change_km_2016_2020,cost_change_2020_2024,cost_change_percent_2020_2024,path_length_change_km_2020_2024,cost_change_2012_2024,cost_change_percent_2012_2024,path_length_change_km_2012_2024
veg_low,1,9,130765.1953125,99.69848480984201,131160.875,99.6984848098423,127306.2734375,99.87005768509856,142855.734375,99.87005768509692,395.6796875,0.3025879222329862,2.8421709430404007e-13,-3854.6015625,-2.9388348945522056,0.17157287525625975,15549.4609375,12.214214207702721,-1.6342482922482304e-12,12090.5390625,9.245991667435877,0.17157287525490972
veg_low,1,13,299824.71875,209.10764773832616,295158.34375,209.52186130069828,286029.5,238.03657992644844,312257.5,209.2792206135827,-4666.375,-1.5563676735709437,0.4142135623721117,-9128.84375,-3.0928631845597283,28.514718625750163,26228.0,9.169683546627184,-28.75735931286573,12432.78125,4.146683202717087,0.17157287525654397
veg_low,1,17,343070.59375,238.84062043357122,345486.28125,238.0121933088256,338966.1875,237.59797974645167,349434.375,237.18376618407996,2415.6875,0.7041371496154354,-0.8284271247456161,-6520.09375,-1.8872221861920895,-0.4142135623739307,10468.1875,3.088268944229135,-0.4142135623717138,6363.78125,1.8549480386644186,-1.6568542494912606
veg_low,9,13,48074.64453125,25.970562748475228,45838.234375,26.38477631084542,45026.28125,26.798989873218513,46013.93359375,26.798989873218513,-2236.41015625,-4.651953598525861,0.41421356237019324,-811.953125,-1.771344677802067,0.41421356237309226,987.65234375,2.1935019200591874,0.0,-2060.7109375,-4.286481902451665,0.8284271247432855
veg_low,9,17,87441.890625,56.242640687126574,86259.9609375,56.24264068712548,84861.3515625,57.6568542494904,82727.2734375,57.6568542494904,-1181.9296875,-1.3516744423662785,-1.0942358130705543e-12,-1398.609375,-1.6213888341699667,1.414213562364921,-2134.078125,-2.514782154309976,0.0,-4714.6171875,-5.391714604752692,1.4142135623638268
veg_low,13,17,147888.671875,98.4264068711922,143429.359375,97.18376618407225,140028.5625,98.01219330881803,136366.59375,98.01219330881801,-4459.3125,-3.015317159497616,-1.2426406871199447,-3400.796875,-2.3710604926488745,0.8284271247457724,-3661.96875,-2.615158425267702,-1.4210854715202004e-14,-11522.078125,-7.7910484818869765,-0.4142135623741865
veg_low,17,24,52801.19921875,32.485281374242795,50675.796875,31.41421356237216,48874.27734375,32.24264068711781,48983.1953125,31.41421356237216,-2125.40234375,-4.025291802454475,-1.071067811870634,-1801.51953125,-3.554990039315489,0.8284271247456516,108.91796875,0.22285335900506842,-0.8284271247456516,-3818.00390625,-7.230903772530617,-1.071067811870634
veg_low,18,24,22467.802734375,9.41421356237589,22982.919921875,9.41421356237589,22486.9609375,9.41421356237589,23560.740234375,9.41421356237589,515.1171875,2.2926905385006235,0.0,-495.958984375,-2.157945927066253,0.0,1073.779296875,4.775119678730486,0.0,1092.9375,4.864460993009527,0.0
veg_low,18,28,209505.84375,153.485281374241,218388.109375,152.65685424949368,217480.453125,153.4852813742377,228735.421875,158.45584412271197,8882.265625,4.239626669124831,-0.8284271247473214,-907.65625,-0.4156161489733122,0.8284271247440245,11254.96875,5.175163371363332,4.970562748474265,19229.578125,9.178540216733214,4.970562748470968
veg_low,18,33,158444.484375,117.98275605730149,161415.078125,117.98275605730039,160951.328125,117.98275605729712,167284.125,117.98275605729823,2970.59375,1.874848317830565,-1.0942358130705543e-12,-463.75,-0.28730277579203073,-3.268496584496461e-12,6332.796875,3.9346036772568573,1.1084466677857563e-12,8839.640625,5.579014416228397,-3.254285729781259e-12
veg_low,24,28,27858.130859375,21.00000000000093,27888.650390625,21.00000000000093,26528.296875,21.00000000000093,27270.27734375,21.00000000000093,30.51953125,0.10955340616374974,0.0,-1360.353515625,-4.877803323470591,0.0,741.98046875,2.7969397064808743,0.0,-587.853515625,-2.110168548609469,0.0
veg_low,24,33,51936.62109375,39.69848480983674,52062.98046875,39.698484809838924,51981.953125,39.69848480983566,54467.83203125,39.698484809833474,126.359375,0.2432953325398482,2.1813661987835076e-12,-81.02734375,-0.15563331760968893,-3.26139115713886e-12,2485.87890625,4.782196044600815,-2.1884716261411086e-12,2531.2109375,4.873653472625702,-3.268496584496461e-12
veg_low,24,38,145074.6875,105.14213562373003,142133.65625,104.72792206135956,138627.421875,105.14213562373195,149116.859375,105.14213562372896,-2941.03125,-2.0272532036300266,-0.41421356237046325,-3506.234375,-2.466857229671808,0.4142135623723817,10489.4375,7.566639672097704,-2.9842794901924208e-12,4042.171875,2.7862695723538953,-1.0658141036401503e-12
veg_low,26,27,205608.328125,109.69848480983676,196418.46875,110.52691193457966,197213.125,110.52691193458296,200911.09375,109.69848480983347,-9189.859375,-4.469594913204588,0.8284271247429018,794.65625,0.4045730806563983,3.296918293926865e-12,3697.96875,1.8751129013345333,-0.8284271247494814,-4697.234375,-2.2845545303711177,-3.282707439211663e-12
veg_low,26,31,45284.6796875,24.31370849898871,43545.26953125,24.31370849898871,42383.390625,24.31370849898871,43574.20703125,24.31370849898871,-1739.41015625,-3.8410565521348543,0.0,-1161.87890625,-2.6682092423751897,0.0,1190.81640625,2.809629877859731,0.0,-1710.47265625,-3.7771552499733025,0.0
veg_low,26,32,253273.59375,117.98275605729822,244987.78125,117.98275605729711,235845.765625,117.98275605729711,242604.203125,117.98275605729711,-8285.8125,-3.2714869234171795,-1.1084466677857563e-12,-9142.015625,-3.7316210540602217,0.0,6758.4375,2.865617486109997,0.0,-10669.390625,-4.212594951975722,-1.1084466677857563e-12
veg_low,27,30,308413.90625,205.52691193458494,300283.9375,209.6690475583084,287496.875,204.28427124746767,298618.9375,205.5269119345871,-8129.96875,-2.636057773416305,4.142135623723448,-12787.0625,-4.258323840581716,-5.384776310840721,11122.0625,3.8685855281035666,1.242640687119433,-9794.96875,-3.1759166987950955,2.1600499167107046e-12
