from_core,to_core,effective_resistance_2012,effective_resistance_2016,effective_resistance_2020,effective_resistance_2024,absolute_change_2012_2024,percent_change_2012_2024,direction
1,9,0.4031124278269106,0.41643868128746975,0.3823177770016152,0.44731751277804077,0.04420508495113018,10.965944461060145,increase
1,13,0.631468003282892,0.6285996381326098,0.5852547354422089,0.6623014143214949,0.03083341103860293,4.882814470140278,increase
1,17,0.71471973464225,0.7207115074027093,0.6712804177003129,0.7382274138042307,0.02350767916198071,3.2890765460320446,increase
1,18,0.767223931298001,0.7865208867116303,0.729611160285718,0.819206478474811,0.051982547176809946,6.775407420994426,increase
1,24,0.5562568012527578,0.5664272255379532,0.5232684573052098,0.5904499323104818,0.034193131057724035,6.147004581466143,increase
1,26,1.0447010684906435,1.033918860716644,0.9787527483181067,1.0707348834657404,0.026033814975096936,2.491987015262644,increase
1,27,1.0358993318513723,1.004298571016723,0.9603844100906832,1.0466868059253982,0.010787474074025916,1.0413631655448996,increase
1,28,0.8333247590452515,0.8463147861699882,0.7826012243387936,0.8758307358831733,0.04250597683792179,5.100769703113263,increase
1,30,0.88263887819522,0.8975879042812945,0.8202099615913654,0.9315903119969293,0.0489514338017093,5.546031906254003,increase
1,31,1.4320870979529507,1.4050063634675327,1.3405635525065884,1.4429092620301902,0.01082216407723946,0.7556917517592919,increase
1,32,1.4725613623739633,1.4514058393139813,1.3880774583692852,1.4897728961562429,0.017211533782279576,1.1688160658060667,increase
1,33,0.9030654481549207,0.9228222498323531,0.857808868953206,0.9620377360042023,0.058972287849281546,6.530234100946896,increase
1,36,0.9162606990926399,0.9289041669308957,0.8513630809529724,0.9573915961702668,0.04113089707762696,4.488995011829964,increase
1,38,0.8243435134136576,0.8335802388574198,0.7742453627340209,0.8752216826188846,0.05087816920522692,6.1719620980017496,increase
1,40,1.0609948076047186,1.0444309271338623,0.9825802999074169,1.1151989256074522,0.0542041180027335,5.108801439387217,increase
1,41,1.113164223336152,1.1023756410928092,1.0446449825765898,1.1281261207473552,0.014961897411203129,1.3440871614039425,increase
1,42,0.7765167648415552,0.7902965036251927,0.735142032947096,0.8238495744261389,0.047332809584583746,6.0955296431033,increase
1,43,1.176916241608044,1.1848102631557613,1.111009157111325,1.197625459280474,0.020709217672429947,1.7596169498123784,increase
1,45,1.235305664579416,1.247147472968947,1.166317322612463,1.2580728618385637,0.022767197259147665,1.8430415978784653,increase
1,49,1.3726918671507877,1.3799966882534642,1.3010536047615584,1.3947768730570007,0.022085005906212984,1.6088829863947163,increase
1,50,1.3165756083505773,1.3515977061087696,1.2640236962946,1.383267104781818,0.06669149643124062,5.065527266967415,increase
1,53,1.767041856359215,1.7745931735242624,1.683328428915917,1.7904959020785696,0.02345404571935461,1.3273056116327067,increase
9,13,0.2636118505696039,0.2486095007318619,0.2342196984400477,0.24564470435252078,-0.01796714621708312,-6.815758160439409,decrease
9,17,0.39161132728308123,0.38282057706424955,0.36730722129873966,0.37103029145098576,-0.020581035832095473,-5.255475109691658,decrease
9,18,0.6165956806026185,0.6217071865074834,0.5842102696429311,0.633423245075782,0.01682756447316347,2.7291083934803693,increase
9,24,0.3295804373627212,0.32281632356845813,0.3060546647262893,0.3199478388529816,-0.009632598509739576,-2.922685152923193,decrease
9,26,0.8373834523142528,0.8085383996553485,0.7743115477936537,0.816128510003009,-0.021254942311243807,-2.538256786959681,decrease
9,27,0.8191930515489767,0.7696030843871747,0.7478100103539265,0.782595705964523,-0.03659734558445371,-4.467487305373669,decrease
9,28,0.6410274143195152,0.6368935628525045,0.5961318048794297,0.6429875832793874,0.001960168959872277,0.3057855118338583,increase
9,30,0.6615043899732245,0.6591161220974388,0.6059075908921787,0.6652411512216658,0.003736761248441356,0.5648883522288655,increase
9,31,1.2283197602806664,1.183144469387971,1.1391450275078019,1.191753914129328,-0.03656584615133829,-2.976899609836378,decrease
9,32,1.2696744172680983,1.230443248544925,1.1874344493068032,1.2395020325324606,-0.03017238473563766,-2.376387546703369,decrease
9,33,0.718329024597758,0.7214123099999734,0.6785400613206385,0.7369959235545692,0.018666898956811173,2.59865581336687,increase
9,36,0.7032944581797598,0.6993408904719448,0.6446226109840454,0.7001123347110887,-0.003182123468671083,-0.4524596250775152,decrease
9,38,0.6296741890770288,0.6212369894867866,0.5846787154037674,0.6383945035496142,0.008720314472585478,1.3848931120025172,increase
9,40,0.8586766404718438,0.8249032577762108,0.7857390267596349,0.8692667553636135,0.010590114891769753,1.2333065082509376,increase
9,41,0.9019308401096884,0.8733673466542153,0.8380542786456957,0.8709690159627219,-0.030961824146966466,-3.4328379483288365,decrease
9,42,0.5902007779861878,0.586542871237158,0.5534735332676022,0.5954904614442402,0.005289683458052474,0.8962515224228096,increase
9,43,0.9722066788433383,0.9625767447792082,0.911293494908487,0.9481839688512664,-0.0240227099920719,-2.4709468176717726,decrease
9,45,1.0342613553652238,1.0285308109050237,0.9701564564569956,1.0125742343452515,-0.021687121019972277,-2.096870477415644,decrease
9,49,1.1735290516508623,1.1631201350375326,1.1064753354497308,1.1511800504420227,-0.022349001208839647,-1.9044267525716712,decrease
9,50,1.1289067486128461,1.1464705472270391,1.0808949349640646,1.153363657681655,0.02445690906880893,2.166424206327101,increase
9,53,1.5720432065026615,1.5618435210335635,1.492772495494002,1.5516610814160738,-0.020382125086587655,-1.2965372072649295,decrease
13,17,0.5353423776156514,0.5133079260576889,0.49099642263729726,0.4988365507205157,-0.03650582689513571,-6.819155071886544,decrease
13,18,0.7531271964069353,0.7434101210148367,0.7017993828511551,0.7556411130216928,0.0025139166147575276,0.3337970832484968,increase
13,24,0.4258052738702018,0.40421514097997013,0.3857141847281165,0.40123002134582986,-0.024575252524371927,-5.771476783508135,decrease
13,26,0.8451889925125546,0.8047091270168133,0.7730313073594749,0.8107201865091487,-0.03446880600340596,-4.078236501984963,decrease
13,27,0.8231772801474933,0.7620285809823468,0.7439824655818001,0.7742571011393969,-0.04892017900809631,-5.942848544037926,decrease
13,28,0.7473082687393435,0.7275724484415215,0.6846667910057185,0.7352347573669711,-0.012073511372372447,-1.6155998638606812,decrease
13,30,0.7083297878957862,0.6927359116214339,0.6406561005982105,0.6975983196544171,-0.010731468241369058,-1.5150383938036414,decrease
13,31,1.2374978004809345,1.1807528964759775,1.1387440307673795,1.1873973254577432,-0.05010047502319126,-4.048530430011309,decrease
13,32,1.2797300022648248,1.228887994425631,1.1877619700640887,1.2359471294860385,-0.04378287277878634,-3.4212586015253863,decrease
13,33,0.8276795465381899,0.8152796558776145,0.7699325068063263,0.8316828879877363,0.004003341449546394,0.48368253949134843,increase
13,36,0.7585739057406402,0.7419438265234003,0.6870906771739953,0.7405798244318598,-0.01799408130878044,-2.3720933679114315,decrease
13,38,0.720656600322001,0.6964471131652632,0.6585385758392773,0.7136583983213352,-0.00699820200066581,-0.9710869223342852,decrease
13,40,0.9321087164696785,0.8843149777355588,0.8443547594591831,0.9265844430830531,-0.005524273386625422,-0.592664062572912,decrease
13,41,0.9361851345131657,0.8939066351902751,0.8608360065474381,0.890677967015042,-0.04550716749812367,-4.860915413038285,decrease
13,42,0.6825819371021566,0.66306022072197,0.628790827455137,0.6709665379633107,-0.011615399138845905,-1.701685688923749,decrease
13,43,1.02734440147614,1.003464326384661,0.9532735758354265,0.9875665722800726,-0.039777829196067316,-3.8719079150976574,decrease
13,45,1.096772528137974,1.0764808505052066,1.0186541859409965,1.0586331220842178,-0.03813940605375632,-3.477421714647322,decrease
