from_core,to_core,path_length_km,accumulated_cost_raw,status
1,9,101.041630560351,127162.34375,OK
1,13,210.86500705120673,285418.78125,OK
1,17,242.56854249491067,313282.71875,OK
9,13,26.798989873218513,45076.96484375,OK
9,17,57.6568542494904,77326.3671875,OK
13,17,99.2548339959373,129679.6328125,OK
17,24,32.6568542494899,43851.9921875,OK
18,24,9.41421356237589,21160.189453125,OK
18,28,153.4852813742399,166071.75,OK
18,33,117.98275605729823,128489.6484375,OK
24,28,21.00000000000093,21696.556640625,OK
24,33,39.69848480983784,41130.7890625,OK
24,38,105.14213562373031,114959.6328125,OK
26,27,110.52691193457966,187149.3125,OK
26,31,24.31370849898871,39989.6640625,OK
26,32,117.98275605729712,231384.703125,OK
27,30,205.11269837221295,242978.5,OK
27,31,322.6518036156062,585430.9375,OK
27,32,452.17871555018485,827128.75,OK
27,41,158.1959594928913,249221.515625,OK
28,33,21.00000000000745,23497.404296875,OK
28,38,41.52691193457971,49870.12890625,OK
30,36,30.99999999999907,31000.0,OK
30,40,136.2670273047575,140068.6875,OK
30,41,169.90663761154985,201880.46875,OK
31,32,64.72792206135018,108225.828125,OK
33,38,39.69848480982989,46043.8359375,OK
36,40,63.84062043356638,69842.421875,OK
36,41,149.19595949289504,177977.796875,OK
36,43,111.7401153701843,194126.796875,OK
38,40,25.556349186109152,30590.603515625,OK
38,42,29.698484809835655,36275.28515625,OK
40,42,22.242640687117582,41716.18359375,OK
40,43,137.6101730552651,210499.59375,OK
40,45,141.06601717798057,209938.71875,OK
41,43,119.95331880577162,226708.6875,OK
41,45,193.16652224136794,360132.75,OK
42,50,51.41421356237216,54111.44921875,OK
43,45,33.384776310845695,56641.7578125,OK
43,49,147.89949493660862,266653.53125,OK
45,49,111.79898987322426,200970.84375,OK
45,50,276.9066376115472,312990.375,OK
45,53,316.80613254816507,585139.9375,OK
49,53,126.38477631085686,337560.875,OK
50,53,279.29141392240336,518796.78125,OK
