from_core,to_core,path_length_km,accumulated_cost_raw,status
1,9,102.5979797464545,167918.515625,OK
1,13,217.5218613007002,353257.90625,OK
1,17,241.74011537017446,422252.59375,OK
9,13,28.142135623727768,49453.62109375,OK
9,17,57.6568542494904,81649.796875,OK
13,17,106.74011537017054,182252.265625,OK
17,24,31.828427124742625,49404.93359375,OK
18,24,10.242640687121535,26905.908203125,OK
18,28,165.0832611206776,289503.9375,OK
18,33,117.98275605729823,208634.046875,OK
24,28,21.00000000000093,31964.16796875,OK
24,33,39.69848480983675,69548.8359375,OK
24,38,105.97056274847652,183173.71875,OK
26,27,108.5685424949293,205575.90625,OK
26,31,24.31370849898871,45456.3125,OK
26,32,117.98275605729822,241552.125,OK
27,30,220.8111831820508,356560.1875,OK
27,31,321.2375900532344,611571.1875,OK
27,32,446.62236636407533,864392.75,OK
27,41,158.19595949289487,289085.46875,OK
28,33,21.414213562380546,35554.47265625,OK
28,38,36.38477631084403,69516.5078125,OK
30,36,30.99999999999907,54276.953125,OK
30,40,143.99494936611634,223865.546875,OK
30,41,171.07821048680339,267894.84375,OK
31,32,64.72792206134909,116060.4296875,OK
33,38,39.69848480982962,79140.96875,OK
36,40,63.8406204335642,117047.21875,OK
36,41,149.61017305526383,227071.703125,OK
36,43,116.7106781186589,242160.953125,OK
38,40,25.55634918611079,50594.37109375,OK
38,42,30.28427124746256,54303.5,OK
40,42,21.828427124744216,50134.86328125,OK
40,43,138.33809511662318,278256.0625,OK
40,45,147.5807358037462,287950.9375,OK
41,43,119.36753236814252,247036.59375,OK
41,45,148.1076477383226,377571.71875,OK
42,50,61.112698372205074,104221.5625,OK
43,45,32.384776310845695,61178.8828125,OK
43,49,151.2132034355917,286991.46875,OK
45,49,121.32590180780655,225294.0625,OK
45,50,283.7645019878145,547047.0,OK
45,53,269.6690475583111,646735.3125,OK
49,53,124.7279220613634,345314.1875,OK
50,53,260.4924240491822,624846.875,OK
