from_core,to_core,path_length_km,accumulated_cost_raw,status
1,9,102.5979797464545,186135.296875,OK
1,13,212.00714267493976,384903.1875,OK
1,17,247.95331880576506,449383.46875,OK
9,13,25.556349186102413,47678.01953125,OK
9,17,58.07106781186323,98513.7734375,OK
13,17,98.59797974644711,152279.8125,OK
17,24,30.99999999999907,63489.37109375,OK
18,24,10.242640687121535,30685.427734375,OK
18,28,165.0832611206798,390548.6875,OK
18,33,117.98275605730149,280708.59375,OK
24,28,21.00000000000093,43822.4453125,OK
24,33,39.69848480983675,94190.5078125,OK
24,38,105.97056274847652,245581.984375,OK
26,27,107.98275605730022,228682.5,OK
26,31,24.313708498988706,54341.1875,OK
26,32,117.56854249492666,272442.0625,OK
27,30,209.59797974646077,437087.5,OK
27,31,311.71067811866,700141.125,OK
27,32,440.82337649086384,984306.25,OK
27,41,158.1959594928935,344489.4375,OK
28,33,21.414213562381637,48410.21875,OK
28,38,36.38477631084403,87564.03125,OK
30,36,30.99999999999907,75415.46875,OK
30,40,144.58073580374324,322197.90625,OK
30,41,170.4924240491759,366186.34375,OK
31,32,64.31370849897642,130679.5859375,OK
33,38,39.69848480983016,104929.46875,OK
36,40,63.8406204335631,168343.71875,OK
36,41,145.05382386916543,312008.625,OK
36,43,114.22539674441427,307398.0,OK
38,40,25.55634918611079,69335.21875,OK
38,42,30.28427124746256,71843.0078125,OK
40,42,21.828427124744216,61227.7734375,OK
40,43,135.02438661763688,356279.875,OK
40,45,143.33809511661852,377028.28125,OK
41,43,94.46803743153819,264705.25,OK
41,45,148.1076477383207,406351.25,OK
42,50,54.31370849898328,152668.734375,OK
43,45,25.5563491861035,69321.0,OK
43,49,149.97056274847407,343076.40625,OK
45,49,113.04163056034491,272551.28125,OK
45,50,265.0193359837545,742664.0625,OK
45,53,267.1837661840755,715276.3125,OK
49,53,123.48528137423803,361458.78125,OK
50,53,260.4924240491756,732973.8125,OK
