from_core,to_core,robust_priority_link,importance_rank,edge_betweenness_normalized,effective_cost_2012,path_length_km_2012,effective_cost_2016,path_length_km_2016,effective_cost_2020,path_length_km_2020,effective_cost_2024,path_length_km_2024,cost_change_2012_2016,cost_change_percent_2012_2016,path_length_change_km_2012_2016,cost_change_2016_2020,cost_change_percent_2016_2020,path_length_change_km_2016_2020,cost_change_2020_2024,cost_change_percent_2020_2024,path_length_change_km_2020_2024,cost_change_2012_2024,cost_change_percent_2012_2024,path_length_change_km_2012_2024
38,40,yes,1,0.44805194805194803,30591.373046875,25.556349186109152,30591.373046875,25.556349186109152,30591.373046875,25.556349186109152,30590.603515625,25.556349186109152,0.0,0.0,0.0,0.0,0.0,0.0,-0.76953125,-0.002515517197678088,0.0,-0.76953125,-0.002515517197678088,0.0
24,38,yes,2,0.3463203463203463,114962.8046875,105.14213562373031,114962.8046875,105.14213562373031,114962.8046875,105.14213562373031,114959.6328125,105.14213562373031,0.0,0.0,0.0,0.0,0.0,0.0,-3.171875,-0.0027590445523854555,0.0,-3.171875,-0.0027590445523854555,0.0
17,24,yes,3,0.329004329004329,43852.9765625,32.6568542494899,43852.9765625,32.6568542494899,43852.9765625,32.6568542494899,43851.9921875,32.6568542494899,0.0,0.0,0.0,0.0,0.0,0.0,-0.984375,-0.0022447164985415578,0.0,-0.984375,-0.0022447164985415578,0.0
30,40,yes,4,0.2601731601731602,140072.8125,136.26702730475776,140072.8125,136.26702730475776,140072.8125,136.26702730475776,140068.6875,136.2670273047575,0.0,0.0,0.0,0.0,0.0,0.0,-4.125,-0.002944896962071066,-2.5579538487363607e-13,-4.125,-0.002944896962071066,-2.5579538487363607e-13
27,41,yes,5,0.11255411255411256,249226.28125,158.1959594928913,249226.28125,158.1959594928913,249226.28125,158.1959594928913,249221.515625,158.1959594928913,0.0,0.0,0.0,0.0,0.0,0.0,-4.765625,-0.0019121679206935565,0.0,-4.765625,-0.0019121679206935565,0.0
41,45,yes,6,0.09855699855699855,360009.125,193.16652224136794,360009.09375,193.16652224136794,360010.3125,193.16652224136794,360132.75,193.16652224136794,-0.03125,-8.680335533161832e-06,0.0,1.21875,0.0003385331151791218,0.0,122.4375,0.034009442437846836,0.0,123.625,0.03433940736918821,0.0
33,38,yes,7,0.08658008658008659,46045.03515625,39.69848480982989,46045.03515625,39.69848480982989,46045.03515625,39.69848480982989,46043.8359375,39.69848480982989,0.0,0.0,0.0,0.0,0.0,0.0,-1.19921875,-0.002604447463077291,0.0,-1.19921875,-0.002604447463077291,0.0
9,17,yes,8,0.08658008658008658,77328.109375,57.6568542494904,77328.109375,57.6568542494904,77328.109375,57.6568542494904,77326.3671875,57.6568542494904,0.0,0.0,0.0,0.0,0.0,0.0,-1.7421875,-0.0022529808553204394,0.0,-1.7421875,-0.0022529808553204394,0.0
26,27,yes,9,0.08658008658008658,186498.25,110.52691193458296,186498.203125,110.52691193458296,186498.984375,110.52691193458296,187149.3125,110.52691193457966,-0.046875,-2.5134284101861547e-05,0.0,0.78125,0.00041890484031975844,0.0,650.328125,0.34870330644394426,-3.296918293926865e-12,651.0625,0.3490984499854556,-3.296918293926865e-12
40,43,yes,10,0.08434343434343435,210494.75,137.6101730552651,210503.75,137.6101730552651,210503.75,137.6101730552651,210499.59375,137.6101730552651,9.0,0.004275641078934273,0.0,0.0,0.0,0.0,-4.15625,-0.0019744303842568127,0.0,4.84375,0.0023011262751208763,0.0
42,50,yes,11,0.07698412698412699,54112.99609375,51.41421356237216,54112.99609375,51.41421356237216,54112.99609375,51.41421356237216,54111.44921875,51.41421356237216,0.0,0.0,0.0,0.0,0.0,0.0,-1.546875,-0.0028586016514776987,0.0,-1.546875,-0.0028586016514776987,0.0
36,40,yes,12,0.06399711399711398,69844.3515625,63.84062043356638,69844.3515625,63.84062043356638,69844.3515625,63.84062043356638,69842.421875,63.84062043356638,0.0,0.0,0.0,0.0,0.0,0.0,-1.9296875,-0.0027628397384049375,0.0,-1.9296875,-0.0027628397384049375,0.0
