scenario,period,n_links,mean_percent_change,median_percent_change,q25_percent_change,q75_percent_change,minimum_percent_change,maximum_percent_change,links_increased,links_decreased
veg_low,2012-2016,45,-0.8165625386638846,-0.3388632308259856,-2.636057773416305,0.772774798438483,-9.14411097033436,7.730447469232958,19,26
veg_low,2016-2020,45,-2.6445748479210414,-2.6510015080625347,-3.7934268968964338,-0.9420711710482161,-12.195157953481027,1.1911603987510153,6,39
veg_low,2020-2024,45,2.96917619569651,2.628609995261146,1.2522215443551095,4.782196044600815,-4.595690751163948,12.214214207702721,39,6
veg_low,2012-2024,45,-0.6177862786657109,-1.2074107884813858,-3.7771552499733025,1.8549480386644186,-7.7910484818869765,9.245991667435877,16,29
veg_balanced,2012-2016,45,-1.6199415955679182,-0.9178902465270401,-5.185754382913276,0.6848044217816481,-14.749225442779961,12.471019856864904,18,27
veg_balanced,2016-2020,45,-4.558886392543906,-4.630816971890009,-6.419806414115363,-1.8755006553818767,-18.844412297915877,1.9116682877942524,5,40
veg_balanced,2020-2024,45,5.358389225587852,4.213938804131112,1.5230531714320443,7.959196992345606,-8.445823296655787,24.44326819692103,40,5
veg_balanced,2012-2024,45,-1.1962522363221675,-3.448484734702379,-6.477576276754772,4.120036560356353,-13.785759134719772,18.62870043501543,17,28
veg_high,2012-2016,45,-3.0160251947117933,-3.436477999919426,-6.732581202393455,1.111907138084948,-21.36872920123249,17.985758065414835,15,30
veg_high,2016-2020,45,-6.959056752106198,-8.351032072732442,-10.399262039273875,-2.506916623176421,-25.907196556829724,4.145894789502396,6,39
veg_high,2020-2024,45,8.932424150270808,6.635351384518963,2.1124821251341652,16.180791057379455,-14.271917544180008,47.49361700099242,39,6
veg_high,2012-2024,45,-2.0469125662624332,-5.135819226658633,-11.35949114468599,5.233293933121767,-23.194320518658376,35.419275785674245,15,30
