year,scenario,from_core,to_core,previously_primary_eligible,stored_path_km,stored_cost_raw,total_m,outside_m,old_missing_m,new_missing_m,partial_below95_m,comparable_m,above5pct_m,old_integral_comparable,new_integral_comparable,abs_delta_integral,signed_integral_change_percent_comparable,absolute_integral_change_percent_comparable,max_cell_change_percent_on_line,complete_candidate_coverage,pct_line_above5pct_change
2012,veg_low,1,9,unknown,99.69848480984201,130765.1953125,99698.48480982217,0.0,0.0,0.0,0.0,99698.48480982217,4414.213562375111,130765.19748251804,131213.86445345115,1588.3472819930803,0.34310885432120575,1.2146559731272735,9.21586221795536,True,4.4275633383951165
2012,veg_low,1,13,unknown,209.10764773832616,299824.71875,209107.6477379388,0.0,0.0,0.0,0.0,209107.6477379388,7242.640687112396,299824.72748564987,300471.9024227671,3249.7462196932315,0.21585108824895283,1.0838819889692954,9.21586221795536,True,3.4635943570027306
2012,veg_low,1,17,unknown,238.84062043357122,343070.59375,238840.62043351846,0.0,0.0,0.0,2207.106781191148,238840.62043351846,21242.640687117775,343070.5814553042,345400.7955546651,5735.599862567015,0.6792229428347341,1.6718425223860995,10.189725879833809,True,8.89406527606584
2012,veg_low,9,13,yes,25.970562748475228,48074.64453125,25970.56274842892,0.0,0.0,0.0,0.0,25970.56274842892,1414.2135623688166,48074.64219663965,48158.01516200025,316.24650586363634,0.1734239955849981,0.6578239408836235,6.123303061618714,True,5.445448279530904
2012,veg_low,9,17,yes,56.242640687126574,87441.890625,56242.64068712859,0.0,0.0,0.0,0.0,56242.64068712859,4.662546565333392e-09,87441.89210637516,87681.29099043983,678.288715036681,0.2737805396221704,0.7757022391641828,5.20119637105031,True,8.290056278243776e-12
2012,veg_low,13,17,unknown,98.4264068711922,147888.671875,98426.40687115249,0.0,0.0,0.0,0.0,98426.40687115249,3414.213562395085,147888.6686108653,148607.97774213037,1161.210600290931,0.48638556153193235,0.7851924093970899,15.126731181920954,True,3.4687983346425977
2012,veg_low,17,24,yes,32.485281374242795,52801.19921875,32485.281374235477,0.0,0.0,0.0,0.0,32485.281374235477,1207.106781195594,52801.200842809,53176.01001565044,637.0989649664139,0.7098497133753989,1.2065993856145045,8.097185283463137,True,3.7158575518849193
2012,veg_low,18,24,unknown,9.41421356237589,22467.802734375,9414.21356237589,0.0,0.0,0.0,0.0,9414.21356237589,0.0,22467.80193502424,22583.234504816453,163.73493426478595,0.51376885965988,0.7287536837751161,2.3931146244479393,True,0.0
2012,veg_low,18,28,yes,153.485281374241,209505.84375,153485.2813742384,0.0,0.0,0.0,0.0,153485.2813742384,1000.0000000000044,209505.84596220145,209633.97802171385,2182.6693902644624,0.061159180987968575,1.0418178930712294,5.775947415086429,True,0.6515282710149486
2012,veg_low,18,33,yes,117.98275605730149,158444.484375,117982.75605725407,0.0,0.0,0.0,0.0,117982.75605725407,1207.1067811859043,158444.4765879912,158942.9252310123,1222.2037179519248,0.3145888413120579,0.7713766640979631,5.001775241061397,True,1.023121362413441
2012,veg_low,24,28,yes,21.00000000000093,27858.130859375,21000.00000000093,0.0,0.0,0.0,0.0,21000.00000000093,1000.0000000000011,27858.131241084353,27928.843220561084,239.47815470583902,0.2538288690823842,0.8596346705146671,7.969620292514519,True,4.761904761904557
2012,veg_low,24,33,yes,39.69848480983674,51936.62109375,39698.48480981519,0.0,0.0,0.0,0.0,39698.48480981519,0.0,51936.62152229759,52203.37895774515,344.6845630909935,0.513621078207871,0.6636638136791637,2.8465745850398556,True,0.0
2012,veg_low,24,38,yes,105.14213562373003,145074.6875,105142.13562371816,0.0,0.0,0.0,0.0,105142.13562371816,2000.0000000000036,145074.69444550877,145482.41456287127,1460.6716732896352,0.2810415137669997,1.00684111648312,6.630329931197797,True,1.9021869663724424
2012,veg_low,26,27,yes,109.69848480983676,205608.328125,109698.4848097779,0.0,0.0,0.0,0.0,109698.4848097779,3000.0000000000355,205608.32450806376,206381.7717162683,2269.2859002283903,0.3761750454681634,1.103693591034244,8.881042735552063,True,2.7347688577487377
2012,veg_low,26,31,yes,24.31370849898871,45284.6796875,24313.708498971988,0.0,0.0,0.0,0.0,24313.708498971988,999.9999999999999,45284.6799175113,45285.27327283261,501.20144983106593,0.0013102782715712635,1.1067792700401853,8.524680745378149,True,4.112906100039329
2012,veg_low,26,32,yes,117.98275605729822,253273.59375,117982.7560571446,0.0,0.0,0.0,0.0,117982.7560571446,5449.747468293048,253273.58717905165,254011.91147609593,3557.4906060826356,0.2915125518091699,1.4046038695569425,5.437128350619959,True,4.619105071298283
2012,veg_low,27,30,unknown,205.52691193458494,308413.90625,205526.91193456683,0.0,0.0,0.0,0.0,205526.91193456683,7207.106781195484,308413.9120408216,308785.6256366192,3788.8677007072793,0.12052426342830103,1.2285009050453553,7.748793154125059,True,3.506648697903852
2012,veg_low,27,31,unknown,317.509667991873,644704.6875,317509.66799170914,0.0,0.0,0.0,0.0,317509.66799170914,6414.213562371818,644704.67669209,645976.0747516524,7256.310646042155,0.19720627219361742,1.1255247415411194,8.881042735552063,True,2.020163229341195
2012,veg_low,27,32,unknown,445.3797256769548,908955.875,445379.7256767584,0.0,0.0,0.0,2207.106781187168,445379.7256767584,7414.213562371815,908955.9036830715,911149.9490322869,9493.810055226246,0.24138083490354845,1.04447421670925,8.881042735552063,True,1.664694896272131
2012,veg_low,27,41,yes,158.19595949289325,282374.34375,158195.95949272325,0.0,0.0,0.0,0.0,158195.95949272325,5621.320343558795,282374.3289860758,284411.0572984736,3483.6361380318044,0.7212866409319396,1.2336943483993497,10.976261811707348,True,3.553390593277047
2012,veg_low,28,33,yes,21.00000000000745,29944.78125,21000.00000001117,0.0,0.0,0.0,0.0,21000.00000001117,0.0,29944.78170540699,29947.00711893812,193.77830627567377,0.007431724007944673,0.6471187807680164,2.156157665309118,True,0.0
2012,veg_low,28,38,unknown,38.041630560343044,60726.11328125,38041.63056026521,0.0,0.0,0.0,0.0,38041.63056026521,1207.1067811851763,60726.11176611667,60987.37598388592,598.0163298337181,0.4302337333493167,0.9847762559489165,8.796522517162735,True,3.1731205087880987
2012,veg_low,30,36,yes,30.99999999999907,40777.0703125,30999.999999999072,0.0,0.0,0.0,0.0,30999.999999999072,0.0,40777.07002878079,40874.95653009303,168.0766410827585,0.24005280723493616,0.41218420294574526,2.505513977899318,True,0.0
2012,veg_low,30,40,yes,136.26702730475856,188986.65625,136267.02730467002,0.0,0.0,0.0,0.0,136267.02730467002,0.0,188986.65161058743,189343.47982577304,1332.3195149263506,0.1888113325172025,0.7049807505302725,4.368387068500719,True,0.0
2012,veg_low,30,41,unknown,169.90663761154985,258306.171875,169906.63761074626,0.0,0.0,0.0,0.0,169906.63761074626,1414.2135623680063,258306.16993513238,259248.7236393755,2040.3871922702733,0.3648978669304803,0.7899103582321203,5.562835378561602,True,0.8323474481367527
2012,veg_low,31,32,yes,64.72792206135018,118465.1875,64727.92206131909,0.0,0.0,0.0,3207.1067811783782,64727.92206131909,0.0,118465.19133681315,118549.51059458335,991.9321513788035,0.0711763994289738,0.8373195030417006,4.974558367871593,True,0.0
2012,veg_low,33,38,yes,39.698484809829885,56867.51953125,39698.48480965947,0.0,0.0,0.0,0.0,39698.48480965947,0.0,56867.51950115855,56898.63898059187,380.6255091849771,0.05472276566007572,0.6693196969444442,2.162033489691533,True,0.0
2012,veg_low,36,40,yes,63.84062043356747,94289.609375,63840.62043349244,0.0,0.0,0.0,0.0,63840.62043349244,0.0,94289.60745481784,94538.42978182311,809.5660331889793,0.2638915716395296,0.858595188846142,3.3182602868237785,True,0.0
2012,veg_low,36,41,yes,149.19595949289504,227582.265625,149195.9594927462,0.0,0.0,0.0,0.0,149195.9594927462,2414.2135623687122,227582.27066920899,228090.20416648296,1991.2704215372303,0.2231867604538751,0.8749672879534379,6.637358260454924,True,1.6181494261485612
2012,veg_low,36,43,yes,111.74011537018431,229537.203125,111740.11537005677,0.0,0.0,0.0,0.0,111740.11537005677,0.0,229537.20473225036,229801.58405041447,1489.028524266158,0.11517928802544652,0.6487090081989427,4.673475340855306,True,0.0
2012,veg_low,38,40,yes,25.556349186109426,39892.13671875,25556.349186104708,0.0,0.0,0.0,0.0,25556.349186104708,0.0,39892.13828203901,40130.65311483199,534.1119553150082,0.5978993432406821,1.3388902633867739,3.543903092666053,True,0.0
2012,veg_low,38,42,unknown,29.698484809835655,44891.72265625,29698.48480982892,0.0,0.0,0.0,0.0,29698.48480982892,1414.2135623727588,44891.721344037695,45072.48061030062,409.32550257319275,0.4026561264551143,0.911806209069676,9.072161324812528,True,4.761904761904604
2012,veg_low,40,42,yes,21.82842712474449,48627.46484375,21828.427124744485,0.0,0.0,0.0,0.0,21828.427124744485,0.0,48627.46587617742,48531.441573081844,297.20315702685264,-0.19746927248910362,0.6111837244071819,2.1343750870211315,True,0.0
2012,veg_low,40,43,yes,133.78174593052043,254419.734375,133781.74593040792,0.0,0.0,0.0,0.0,133781.74593040792,1414.2135623715499,254419.73532453968,254448.10436806476,2264.654456706082,0.011150488577027495,0.890125309586252,5.514357764290107,True,1.0571050276972846
2012,veg_low,40,45,unknown,137.48023074035248,255104.875,137480.23074025073,0.0,0.0,0.0,0.0,137480.23074025073,0.0,255104.87899151698,255258.92653610551,2182.699245958832,0.060385965645792794,0.8556085852169897,3.831400569677368,True,0.0
2012,veg_low,41,43,yes,119.95331880576833,253844.9375,119953.31880555765,0.0,0.0,0.0,0.0,119953.31880555765,0.0,253844.94221548067,253913.29162302715,1839.746625168022,0.026925652703546632,0.724752129828264,3.4142719205755423,True,0.0
2012,veg_low,41,45,yes,148.69343417595414,394748.125,148693.43417586235,0.0,0.0,0.0,0.0,148693.43417586235,4035.5339059307476,394748.1256648632,394232.71943131636,3124.077656568887,-0.13056584693815765,0.7914103838509912,7.601445702341778,True,2.713996033717165
2012,veg_low,42,50,yes,51.41421356237216,74582.9609375,51414.213562372184,0.0,0.0,0.0,0.0,51414.213562372184,0.0,74582.95750835224,74441.16320955398,368.7047206427646,-0.19011621895307362,0.4943551891214221,2.7723165857181566,True,0.0
2012,veg_low,43,45,yes,32.38477631084897,66008.953125,32384.77631081155,0.0,0.0,0.0,0.0,32384.77631081155,0.0,66008.94880064206,65930.86894247791,436.2129989142656,-0.11828677714585956,0.6608391844440683,2.477661755177505,True,0.0
2012,veg_low,43,49,yes,147.89949493660833,304343.53125,147899.49493660225,0.0,0.0,0.0,0.0,147899.49493660225,0.0,304343.5310717021,304886.67033091915,2335.853089862491,0.17846256081228695,0.7675054178536732,4.914140235563251,True,0.0
2012,veg_low,45,49,yes,111.79898987322453,227807.3125,111798.98987318721,0.0,0.0,0.0,0.0,111798.98987318721,0.0,227807.31259442927,227992.9771643426,1501.2887961107397,0.08150070680297272,0.6590169468280062,4.239438550839942,True,0.0
2012,veg_low,45,50,yes,275.9066376115418,413275.09375,275906.63761113957,0.0,0.0,0.0,0.0,275906.63761113957,0.0,413275.09624814615,413581.9955078021,2588.79590855878,0.07426028387438333,0.6264098495314046,4.6630129435735,True,0.0
2012,veg_low,45,53,unknown,268.4264068711961,645270.875,268426.4068711767,0.0,0.0,0.0,0.0,268426.4068711767,1207.1067811851688,645270.8730875797,646907.7489957133,4932.424867214799,0.25367267862272946,0.7643960192428123,6.833825439198413,True,0.44969747770176877
2012,veg_low,49,53,yes,125.14213562373921,348755.0625,125142.13562373375,0.0,0.0,0.0,0.0,125142.13562373375,0.0,348755.0538218146,349596.3575399937,2753.7459353761774,0.24123054532392274,0.7895931270957631,3.5722444058610825,True,0.0
2012,veg_low,50,53,yes,260.4924240491836,589320.8125,260492.42404883343,0.0,0.0,0.0,0.0,260492.42404883343,2414.2135623664735,589320.8129237783,589903.6465022111,4350.976177964926,0.09889920153018927,0.7383034982895935,8.153123058923024,True,0.9267883974675175
2012,veg_balanced,1,9,unknown,99.698484809842,133465.09375,99698.48480981172,0.0,0.0,0.0,0.0,99698.48480981172,11035.533905930206,133465.09156162635,134447.12604629243,2801.4146543254838,0.7357987569450941,2.098986799879394,17.898929952007016,True,11.06890834598136
2012,veg_balanced,1,13,unknown,209.10764773832702,311715.03125,209107.64773808297,0.0,0.0,0.0,0.0,209107.64773808297,23349.242404886547,311715.0217874385,313661.25564323936,6082.189441933254,0.6243631906607483,1.9512019045654971,17.898929952007016,True,11.166135078011376
2012,veg_balanced,1,17,unknown,243.3969696196724,366270.03125,243396.96961961855,0.0,0.0,0.0,0.0,243396.96961961855,31656.854249491418,366270.02795910893,368730.808393867,7951.404577168393,0.6718487036653675,2.1709132525733454,17.898929952007016,True,13.006264744776747
2012,veg_balanced,9,13,yes,25.556349186102135,50743.9453125,25556.34918605969,0.0,0.0,0.0,0.0,25556.34918605969,1414.213562368837,50743.945649699126,50962.12484715921,693.2756544293536,0.4299610419856714,1.3662233899098941,12.28751275602068,True,5.533707307224668
2012,veg_balanced,9,17,yes,56.242640687126574,96538.2578125,56242.64068712859,0.0,0.0,0.0,0.0,56242.64068712859,1414.2135623757572,96538.25884204505,97017.05661017433,1356.5774300733603,0.4959668569459952,1.405222599148985,8.672032334431808,True,2.514486420086259
2012,veg_balanced,13,17,unknown,98.42640687118784,165013.015625,98426.40687113568,0.0,0.0,0.0,0.0,98426.40687113568,5242.640687132212,165013.01297032207,166151.95800280836,2371.435036795913,0.690215281803952,1.437120015027191,29.86388853834695,True,5.326457455666461
2012,veg_balanced,17,24,yes,32.07106781186861,59862.44140625,32071.067811865792,0.0,0.0,0.0,0.0,32071.067811865792,2999.99999999998,59862.44035313982,60690.538803569434,1307.81987944333,1.3833356033340793,2.1847085947854015,13.666566252404522,True,9.354225489461337
