from_core,to_core,centroid_distance_km,core_edge_distance_km,least_cost_path_km,detour_ratio,accumulated_cost_raw,cost_per_path_km,qc
1,9,154.41537944395492,90.00000000000094,99.87005768509718,1.1096673076121792,121045.328125,1212.0282187747514,OK
1,13,244.90902790061494,192.3538406167109,209.6934341759529,1.0901442544825153,268674.1875,1281.271340496797,OK
1,17,252.023878037409,225.0,237.18376618407834,1.0541500719292372,299186.53125,1261.4123473265086,OK
9,13,105.35426837856497,22.360679775000396,26.384776310845695,1.1799630680434101,40372.6796875,1530.1505387750608,OK
9,17,109.03888247059191,54.00000000000093,57.6568542494904,1.0677195231386927,74173.734375,1286.4686313623429,OK
13,17,129.20797251521878,88.60022573334622,97.18376618407116,1.0968794422325538,124119.671875,1277.1646618418843,OK
17,24,208.02239497192116,28.99999999999814,31.41421356237216,1.083248743530144,41146.1640625,1309.7944973476826,OK
18,24,446.90719459908183,8.000000000001863,9.41421356237589,1.1767766952967122,19038.03515625,2022.2650601783587,REVIEW_HIGH_COST_PER_KM
18,28,432.96852346378984,150.00000000000372,152.65685424949368,1.017712361663266,165442.78125,1083.755996829397,OK
18,33,384.4174573305163,107.70329614269042,117.98275605729931,1.095442389256037,127717.5078125,1082.5099538314983,OK
24,28,104.12519339210519,20.0,21.00000000000093,1.0500000000000465,21870.6953125,1041.4616815475729,OK
24,33,160.96893450405088,36.05551275464041,39.69848480983784,1.1010378656930504,41488.86328125,1045.099415758268,OK
24,38,202.2921104231828,99.99999999999906,105.14213562373031,1.051421356237313,113910.046875,1083.3910325223676,OK
26,27,221.81772699410638,98.4885780179686,109.69848480983455,1.1138193587262553,187140.21875,1705.9508075650533,OK
26,31,121.00278122526332,20.00000000000093,24.31370849898871,1.215685424949379,40053.66015625,1647.369431854296,OK
26,32,335.0181108628207,105.94810050208545,117.98275605729714,1.1135901021177326,223807.21875,1896.9485561204408,OK
27,30,248.17797350617687,195.25624189767376,203.87005768509235,1.0441154439095102,240302.890625,1178.706149169701,OK
27,31,341.4807536063997,290.6888370749764,318.75230867898716,1.0965412772172343,566874.875,1778.4180994619715,OK
27,32,533.6622988362743,410.76148797081754,444.1370849898281,1.081252984995959,803563.3125,1809.26866874538,OK
27,41,196.80123827895895,144.84819639885177,158.1959594928932,1.0921500123984094,241390.859375,1525.8977545873684,OK
28,33,70.30402292850765,20.00000000000745,21.00000000000745,1.0499999999999814,23145.236328125,1102.1541108627043,OK
28,38,104.14205682594715,31.62277660168173,38.041630560343044,1.2029819847735936,47448.4140625,1247.2760332193322,OK
30,36,76.6116857229216,30.000000000003727,30.99999999999907,1.033333333333174,31000.0,1000.00000000003,OK
30,40,169.18924315688355,125.29964086141652,136.2670273047575,1.0875292727731845,141019.109375,1034.8733084168234,OK
30,41,205.86217719521227,163.2482771731458,169.9066376115501,1.0407867118336709,203755.21875,1199.218709841321,OK
31,32,228.94228132522787,59.99999999999628,64.72792206135018,1.07879870102257,108063.5859375,1669.5049446369615,OK
33,38,108.1286078313024,36.055512754636275,39.69848480982989,1.1010378656929565,45037.03515625,1134.4774333830044,OK
36,40,103.57509881015027,58.30951894845572,63.84062043356638,1.0948576078976064,71342.875,1117.5153768162481,OK
36,41,175.51672721125522,132.85330255586484,148.78174593051912,1.1198949748950078,181096.640625,1217.1966358666868,OK
36,43,154.59570528646879,99.62429422585903,111.7401153701843,1.121615126495726,177705.953125,1590.3505427417647,OK
38,40,120.57913223622226,22.360679775002062,25.556349186109152,1.142914680737017,30611.716796875,1197.8125895037322,OK
38,42,198.24476336813916,28.28427124746256,29.698484809835655,1.049999999999999,34762.52734375,1170.5151817118028,OK
40,42,222.0399549515233,20.0,22.242640687117582,1.1121320343558792,37190.859375,1672.0523384860537,OK
40,43,159.56452874268538,118.84864324004474,134.19595949289072,1.1291332894886164,193381.65625,1441.0393351689904,OK
40,45,163.2482771731408,128.06248474865393,136.30865786509867,1.0643917938389948,193007.421875,1415.9586404703266,OK
41,43,128.08581031303578,86.02325267042627,119.95331880577162,1.394429007065552,216739.703125,1806.8670819849917,REVIEW_HIGH_DETOUR
41,45,183.56920892986318,141.5980225850617,189.40916292848942,1.3376540114796187,340468.90625,1797.5313389592588,REVIEW_HIGH_DETOUR
42,50,141.59480393774714,49.99999999999907,51.41421356237216,1.0282842712474625,54785.75390625,1065.5760364745777,OK
43,45,57.42828237815441,22.360679774996232,32.384776310845695,1.4482912253436244,51093.5703125,1577.7033573453682,REVIEW_HIGH_DETOUR
43,49,177.12475837865634,143.99999999999721,151.213203435592,1.0500916905249646,253343.09375,1675.4032584059987,OK
45,49,139.2838827718412,105.11898020814318,111.79898987322453,1.063547131563248,195436.359375,1748.1048764091413,OK
45,50,276.1340254296822,241.86773244895602,276.32085117392,1.1424461145607134,310683.71875,1124.3585760180347,OK
45,53,280.0446392988118,255.00000000000279,284.5807358037492,1.1160028855048865,551555.0,1938.1318923159997,REVIEW_HIGH_COST_PER_KM
49,53,156.6045976336604,120.00000000000372,125.14213562373757,1.0428511301977808,312042.21875,2493.5024258193203,REVIEW_HIGH_COST_PER_KM
50,53,275.3633962602896,239.26972228011135,275.19090885901113,1.1501284250952868,483160.4375,1755.7281943043333,OK
