scenario,year,from_core,to_core,path_length_km,cost_raw
veg_low,2012,1,9,99.69848480984201,130765.1953125
veg_low,2012,1,13,209.10764773832616,299824.71875
veg_low,2012,1,17,238.84062043357122,343070.59375
veg_low,2012,9,13,25.970562748475228,48074.64453125
veg_low,2012,9,17,56.242640687126574,87441.890625
veg_low,2012,13,17,98.4264068711922,147888.671875
veg_low,2012,17,24,32.485281374242795,52801.19921875
veg_low,2012,18,24,9.41421356237589,22467.802734375
veg_low,2012,18,28,153.485281374241,209505.84375
veg_low,2012,18,33,117.98275605730149,158444.484375
veg_low,2012,24,28,21.00000000000093,27858.130859375
veg_low,2012,24,33,39.69848480983674,51936.62109375
veg_low,2012,24,38,105.14213562373003,145074.6875
veg_low,2012,26,27,109.69848480983676,205608.328125
veg_low,2012,26,31,24.31370849898871,45284.6796875
veg_low,2012,26,32,117.98275605729822,253273.59375
veg_low,2012,27,30,205.52691193458494,308413.90625
veg_low,2012,27,31,317.509667991873,644704.6875
veg_low,2012,27,32,445.3797256769548,908955.875
veg_low,2012,27,41,158.19595949289325,282374.34375
veg_low,2012,28,33,21.00000000000745,29944.78125
veg_low,2012,28,38,38.041630560343044,60726.11328125
veg_low,2012,30,36,30.99999999999907,40777.0703125
veg_low,2012,30,40,136.26702730475856,188986.65625
veg_low,2012,30,41,169.90663761154985,258306.171875
veg_low,2012,31,32,64.72792206135018,118465.1875
veg_low,2012,33,38,39.698484809829885,56867.51953125
veg_low,2012,36,40,63.84062043356747,94289.609375
veg_low,2012,36,41,149.19595949289504,227582.265625
veg_low,2012,36,43,111.74011537018431,229537.203125
veg_low,2012,38,40,25.556349186109426,39892.13671875
veg_low,2012,38,42,29.698484809835655,44891.72265625
veg_low,2012,40,42,21.82842712474449,48627.46484375
veg_low,2012,40,43,133.78174593052043,254419.734375
veg_low,2012,40,45,137.48023074035248,255104.875
veg_low,2012,41,43,119.95331880576833,253844.9375
veg_low,2012,41,45,148.69343417595414,394748.125
veg_low,2012,42,50,51.41421356237216,74582.9609375
veg_low,2012,43,45,32.38477631084897,66008.953125
veg_low,2012,43,49,147.89949493660833,304343.53125
veg_low,2012,45,49,111.79898987322453,227807.3125
veg_low,2012,45,50,275.9066376115418,413275.09375
veg_low,2012,45,53,268.4264068711961,645270.875
veg_low,2012,49,53,125.14213562373921,348755.0625
veg_low,2012,50,53,260.4924240491836,589320.8125
veg_low,2016,1,9,99.6984848098423,131160.875
veg_low,2016,1,13,209.52186130069828,295158.34375
veg_low,2016,1,17,238.0121933088256,345486.28125
veg_low,2016,9,13,26.38477631084542,45838.234375
