scenario,from_core,to_core,recalculated,scenario_path_within_5km_of_primary_percent,path_length_change_km,cost_change_percent
kruger_documented,33,38,0,100.0,0.0,0.0
kruger_documented,36,40,0,100.0,0.0,0.0
kruger_documented,36,41,0,100.0,0.0,0.0
kruger_documented,36,43,0,100.0,0.0,0.0
kruger_documented,38,40,0,100.00000000000001,0.0,0.0
kruger_documented,38,42,0,100.0,0.0,0.0
kruger_documented,40,42,0,100.0,0.0,0.0
kruger_documented,40,43,0,100.0,0.0,0.0
kruger_documented,40,45,0,100.0,0.0,0.0
kruger_documented,41,43,0,100.0,0.0,0.0
kruger_documented,41,45,0,100.0,0.0,0.0
kruger_documented,42,50,0,100.0,0.0,0.0
kruger_documented,43,45,0,100.0,0.0,0.0
kruger_documented,43,49,0,100.0,0.0,0.0
kruger_documented,45,49,0,100.0,0.0,0.0
kruger_documented,45,50,0,100.0,0.0,0.0
kruger_documented,45,53,0,100.0,0.0,0.0
kruger_documented,49,53,0,100.0,0.0,0.0
kruger_documented,50,53,0,100.0,0.0,0.0
kruger_conservative,1,9,0,100.0,0.0,0.0
kruger_conservative,1,13,1,14.680979093374587,8.556349186099908,0.3159502139454952
kruger_conservative,1,17,1,99.99999999999999,0.0,8.595331273758617
kruger_conservative,9,13,1,100.0,2.585786437628272,7.537178383187158
kruger_conservative,9,17,0,100.0,0.0,0.0
kruger_conservative,13,17,1,76.26712084994612,8.727922061351975,39.08395527367232
kruger_conservative,17,24,0,100.0,0.0,0.0
kruger_conservative,18,24,0,100.0,0.0,0.0
kruger_conservative,18,28,0,100.0,0.0,0.0
kruger_conservative,18,33,0,100.0,0.0,0.0
kruger_conservative,24,28,0,100.0,0.0,0.0
kruger_conservative,24,33,0,100.0,0.0,0.0
kruger_conservative,24,38,0,100.0,0.0,0.0
kruger_conservative,26,27,0,100.0,0.0,0.0
kruger_conservative,26,31,0,100.0,0.0,0.0
kruger_conservative,26,32,0,100.0,0.0,0.0
kruger_conservative,27,30,1,75.16486754192489,7.485281374239662,10.274378700173061
kruger_conservative,27,31,0,100.0,0.0,0.0
kruger_conservative,27,32,0,100.0,0.0,0.0
kruger_conservative,27,41,0,100.0,0.0,0.0
kruger_conservative,28,33,0,100.0,0.0,0.0
kruger_conservative,28,38,0,100.0,0.0,0.0
kruger_conservative,30,36,0,100.0,0.0,0.0
kruger_conservative,30,40,0,100.0,0.0,0.0
kruger_conservative,30,41,0,99.99999999999999,0.0,0.0
kruger_conservative,31,32,0,100.0,0.0,0.0
kruger_conservative,33,38,0,100.0,0.0,0.0
kruger_conservative,36,40,0,100.0,0.0,0.0
kruger_conservative,36,41,0,100.0,0.0,0.0
kruger_conservative,36,43,0,100.0,0.0,0.0
