population,period,n_links,mean_percent_change,median_percent_change,q25_percent_change,q75_percent_change,minimum_percent_change,maximum_percent_change,links_increased,links_decreased,links_abs_change_ge_0_1pct,links_abs_change_ge_1pct
all_45_links,2012-2016,45,1.3476771026215694e-05,0.0,0.0,0.0,-0.0011528551042855142,0.004275641078934273,4,11,0,0
all_45_links,2016-2020,45,0.00017461128185804954,0.0,0.0,0.0001851528691520045,-5.424321137169148e-05,0.0025896024419342504,14,1,0,0
all_45_links,2020-2024,45,0.02720494788717005,-0.002233510207634335,-0.0026657457363793123,0.016612033906923895,-0.003682640388550865,0.34870330644394426,14,31,7,0
all_45_links,2012-2024,45,0.027393124039634318,-0.002233510207634335,-0.002604447463077291,0.016601349153400634,-0.003030402115460085,0.3490984499854556,15,30,7,0
robust_32_links,2012-2016,32,6.347308650882215e-05,0.0,-2.1700838832904585e-06,0.0,-0.0011528551042855142,0.004275641078934273,3,8,0,0
robust_32_links,2016-2020,32,0.00016120897984026023,0.0,0.0,0.00017036250249259755,-5.424321137169148e-05,0.0025896024419342504,9,1,0,0
robust_32_links,2020-2024,32,0.028825356416592722,-0.0021095734413991854,-0.002759993348890326,0.014710743630902207,-0.0031705922581663683,0.34870330644394426,10,22,5,0
robust_32_links,2012-2024,32,0.029050183890704944,-0.002078442209617557,-0.002759993348890326,0.01454656362676451,-0.003030402115460085,0.3490984499854556,11,21,5,0
