from_core,to_core,old_path_km,combined_path_km,path_length_change_percent,old_cost_raw,combined_cost_raw,cost_change_percent,combined_path_within_5km_of_old_percent,classification
1,9,99.87005768509718,101.041630560351,1.1730972249439684,121045.328125,127162.34375,5.053491712363434,100.0,STABLE
1,13,209.6934341759529,210.86500705120673,0.5587074673357593,268674.1875,285418.78125,6.232304601274731,100.0,STABLE
1,17,237.18376618407834,242.56854249491067,2.2702971613382728,299186.53125,313282.71875,4.711504706146427,34.91561158666048,ROUTE_SHIFT
9,13,26.384776310845695,26.798989873218513,1.5698960548039689,40372.6796875,45076.96484375,11.65214990102953,100.0,STABLE
9,17,57.6568542494904,57.6568542494904,0.0,74173.734375,77326.3671875,4.250335835271877,100.0,STABLE
13,17,97.18376618407116,99.2548339959373,2.1310841236008824,124119.671875,129679.6328125,4.479516303506986,100.0,STABLE
17,24,31.41421356237216,32.6568542494899,3.95566384194374,41146.1640625,43851.9921875,6.576137014594883,100.0,STABLE
18,24,9.41421356237589,9.41421356237589,0.0,19038.03515625,21160.189453125,11.146918678623816,100.0,STABLE
18,28,152.65685424949368,153.4852813742399,0.5426727340996289,165442.78125,166071.75,0.38017297898877045,100.0,STABLE
18,33,117.98275605729931,117.98275605729823,-9.154091618531348e-13,127717.5078125,128489.6484375,0.6045691293425229,100.0,STABLE
24,28,21.00000000000093,21.00000000000093,0.0,21870.6953125,21696.556640625,-0.7962191845609619,100.0,STABLE
24,33,39.69848480983784,39.69848480983784,0.0,41488.86328125,41130.7890625,-0.8630610492329973,100.0,STABLE
24,38,105.14213562373031,105.14213562373031,0.0,113910.046875,114959.6328125,0.9214164740462012,100.0,STABLE
26,27,109.69848480983455,110.52691193457966,0.7551855672220145,187140.21875,187149.3125,0.004859324233316362,100.0,STABLE
26,31,24.31370849898871,24.31370849898871,0.0,40053.66015625,39989.6640625,-0.15977589438855316,100.0,STABLE
26,32,117.98275605729714,117.98275605729712,-1.2044857392804627e-14,223807.21875,231384.703125,3.385719378186947,100.0,STABLE
27,30,203.87005768509235,205.11269837221295,0.6095258427012572,240302.890625,242978.5,1.1134320390574786,100.0,STABLE
27,31,318.75230867898716,322.6518036156062,1.223362099800874,566874.875,585430.9375,3.273396532171231,64.21049115901664,ROUTE_SHIFT
27,32,444.1370849898281,452.17871555018485,1.8106190255517418,803563.3125,827128.75,2.9326173972134897,74.46242120439133,ROUTE_SHIFT
27,41,158.1959594928932,158.1959594928913,-1.2037314593503353e-12,241390.859375,249221.515625,3.2439738067443136,62.957579245574834,ROUTE_SHIFT
28,33,21.00000000000745,21.00000000000745,0.0,23145.236328125,23497.404296875,1.521557022608847,100.0,STABLE
28,38,38.041630560343044,41.52691193457971,9.161756010190418,47448.4140625,49870.12890625,5.10388996471003,0.0,ROUTE_SHIFT
30,36,30.99999999999907,30.99999999999907,0.0,31000.0,31000.0,0.0,100.0,STABLE
30,40,136.2670273047575,136.2670273047575,0.0,141019.109375,140068.6875,-0.6739667263623292,100.0,STABLE
30,41,169.9066376115501,169.90663761154985,-1.5055055439237726e-13,203755.21875,201880.46875,-0.9200991324301969,99.99999999999999,STABLE
31,32,64.72792206135018,64.72792206135018,0.0,108063.5859375,108225.828125,0.15013585389794015,100.0,STABLE
33,38,39.69848480982989,39.69848480982989,0.0,45037.03515625,46043.8359375,2.2354952490923052,100.0,STABLE
36,40,63.84062043356638,63.84062043356638,0.0,71342.875,69842.421875,-2.103157638376642,100.0,STABLE
36,41,148.78174593051912,149.19595949289504,0.2784034827561154,181096.640625,177977.796875,-1.7221985671497047,100.0,STABLE
36,43,111.7401153701843,111.7401153701843,0.0,177705.953125,194126.796875,9.240457880693185,100.0,STABLE
38,40,25.556349186109152,25.556349186109152,0.0,30611.716796875,30590.603515625,-0.06897124192706287,100.00000000000001,STABLE
38,42,29.698484809835655,29.698484809835655,0.0,34762.52734375,36275.28515625,4.3516911113540795,100.0,STABLE
40,42,22.242640687117582,22.242640687117582,0.0,37190.859375,41716.18359375,12.16783988001084,100.0,STABLE
40,43,134.19595949289072,137.6101730552651,2.544199970905428,193381.65625,210499.59375,8.851893107105395,100.0,STABLE
40,45,136.30865786509867,141.06601717798057,3.4901373011757952,193007.421875,209938.71875,8.772355337695481,100.0,STABLE
41,43,119.95331880577162,119.95331880577162,0.0,216739.703125,226708.6875,4.599519253401672,100.0,STABLE
41,45,189.40916292848942,193.16652224136794,1.9837262647621197,340468.90625,360132.75,5.775518230602005,86.68096222739905,STABLE
42,50,51.41421356237216,51.41421356237216,0.0,54785.75390625,54111.44921875,-1.230802972345471,100.0,STABLE
43,45,32.384776310845695,33.384776310845695,3.087870641444261,51093.5703125,56641.7578125,10.858876109197325,100.0,STABLE
43,49,151.213203435592,147.89949493660862,-2.191414786338298,253343.09375,266653.53125,5.253917643057913,29.749932559841934,ROUTE_SHIFT
45,49,111.79898987322453,111.79898987322426,-2.4151044646737333e-13,195436.359375,200970.84375,2.831860147568818,100.0,STABLE
45,50,276.32085117392,276.9066376115472,0.21199501779852148,310683.71875,312990.375,0.7424451655466738,100.0,STABLE
45,53,284.5807358037492,316.80613254816507,11.323815244697016,551555.0,585139.9375,6.089136622820933,46.255135298277274,ROUTE_SHIFT
49,53,125.14213562373757,126.38477631085686,0.9929834431270332,312042.21875,337560.875,8.17794987877742,100.0,STABLE
50,53,275.19090885901113,279.29141392240336,1.4900583309214805,483160.4375,518796.78125,7.375675031339875,93.88630759863928,STABLE
