density_value,cell_count,percent_positive_cells,cumulative_percent_at_or_above
238.0,14237,1.8050651367713715,1.8050651367713715
237.0,26,0.0032964594757361565,1.8083615962471076
236.0,26,0.0032964594757361565,1.8116580557228439
235.0,26,0.0032964594757361565,1.81495451519858
234.0,37,0.004691115407778376,1.8196456306063584
233.0,27,0.0034232463786490856,1.8230688769850074
232.0,25,0.0031696725728232273,1.8262385495578306
231.0,49,0.006212558242733526,1.8324511078005643
230.0,27,0.0034232463786490856,1.8358743541792133
229.0,105,0.013312624805857555,1.8491869789850708
228.0,220,0.0278931186408444,1.8770800976259152
227.0,1,0.0001267869029129291,1.8772068845288281
226.0,12,0.001521442834955149,1.8787283273637834
225.0,24,0.003042885669910298,1.8817712130336937
224.0,2,0.0002535738058258582,1.8820247868395195
223.0,9,0.0011410821262163619,1.8831658689657358
222.0,24,0.003042885669910298,1.886208754635646
221.0,17,0.0021553773495197946,1.8883641319851658
220.0,12,0.001521442834955149,1.889885574820121
219.0,22,0.00278931186408444,1.8926748866842056
218.0,2,0.0002535738058258582,1.8929284604900314
217.0,49,0.006212558242733526,1.8991410187327649
216.0,1,0.0001267869029129291,1.8992678056356778
215.0,13,0.0016482297378680782,1.900916035373546
214.0,24,0.003042885669910298,1.9039589210434562
213.0,2,0.0002535738058258582,1.904212494849282
212.0,24,0.003042885669910298,1.9072553805191923
211.0,25,0.0031696725728232273,1.9104250530920155
210.0,81,0.010269739135947257,1.920694792227963
209.0,202,0.025610954388411676,1.9463057466163745
208.0,26,0.0032964594757361565,1.9496022060921108
207.0,16,0.0020285904466068655,1.9516307965387176
206.0,1,0.0001267869029129291,1.9517575834416305
204.0,1,0.0001267869029129291,1.9518843703445434
203.0,8,0.0010142952233034327,1.9528986655678469
202.0,31,0.003930393990300802,1.9568290595581477
201.0,30,0.0038036070873878726,1.9606326666455356
200.0,5,0.0006339345145646455,1.9612666011601
199.0,8,0.0010142952233034327,1.9622808963834035
198.0,8,0.0010142952233034327,1.963295191606707
197.0,16,0.0020285904466068655,1.9653237820533138
196.0,1,0.0001267869029129291,1.9654505689562267
195.0,25,0.0031696725728232273,1.9686202415290501
194.0,9,0.0011410821262163619,1.9697613236552665
193.0,16,0.0020285904466068655,1.9717899141018733
192.0,9,0.0011410821262163619,1.9729309962280897
191.0,97,0.012298329582554121,1.9852293258106437
190.0,194,0.024596659165108243,2.009825984975752
189.0,8,0.0010142952233034327,2.0108402801990555
188.0,17,0.0021553773495197946,2.0129956575485752
187.0,1,0.0001267869029129291,2.013122444451488
186.0,4,0.0005071476116517164,2.0136295920631397
185.0,6,0.0007607214174775745,2.0143903134806176
184.0,7,0.0008875083203905037,2.015277821801008
183.0,22,0.00278931186408444,2.0180671336650926
182.0,24,0.003042885669910298,2.0211100193350027
181.0,20,0.002535738058258582,2.023645757393261
180.0,8,0.0010142952233034327,2.024660052616565
179.0,1,0.0001267869029129291,2.0247868395194777
178.0,1,0.0001267869029129291,2.0249136264223906
176.0,8,0.0010142952233034327,2.025927921645694
175.0,8,0.0010142952233034327,2.0269422168689974
174.0,32,0.004057180893213731,2.030999397762211
173.0,66,0.008367935592253321,2.0393673333544644
172.0,17,0.0021553773495197946,2.041522710703984
171.0,202,0.025610954388411676,2.067133665092396
170.0,23,0.002916098766997369,2.0700497638593935
169.0,13,0.0016482297378680782,2.0716979935972613
166.0,15,0.0019018035436939363,2.073599797140955
165.0,30,0.0038036070873878726,2.077403404228343
161.0,9,0.0011410821262163619,2.0785444863545597
160.0,1,0.0001267869029129291,2.0786712732574726
159.0,20,0.002535738058258582,2.081207011315731
158.0,8,0.0010142952233034327,2.0822213065390347
157.0,8,0.0010142952233034327,2.083235601762338
156.0,19,0.002408951155345653,2.0856445529176835
155.0,1,0.0001267869029129291,2.0857713398205964
154.0,83,0.010523312941773114,2.09629465276237
153.0,26,0.0032964594757361565,2.0995911122381057
152.0,194,0.024596659165108243,2.1241877714032142
151.0,8,0.0010142952233034327,2.1252020666265174
149.0,23,0.002916098766997369,2.128118165393515
147.0,22,0.00278931186408444,2.1309074772575993
145.0,16,0.0020285904466068655,2.132936067704206
142.0,6,0.0007607214174775745,2.1336967891216836
141.0,4,0.0005071476116517164,2.1342039367333356
140.0,20,0.002535738058258582,2.136739674791594
138.0,23,0.002916098766997369,2.1396557735585913
137.0,1,0.0001267869029129291,2.139782560461504
136.0,12,0.001521442834955149,2.1413040032964594
135.0,80,0.010142952233034328,2.1514469555294937
