country_code,country,variable,period,cell_count,minimum,maximum,mean,standard_deviation
AGO,Angola,tree,2012-2024,92637.0,-31,23,0.1511922881785903,2.6722560371398707
BWA,Botswana,tree,2012-2024,578382.0,-25,29,1.1876787313574522,2.6953125896445007
ZWE,Zimbabwe,tree,2012-2024,312774.0,-70,60,3.712284269152825,4.8585030376681075
MOZ,Mozambique,tree,2012-2024,83220.0,-47,58,6.371929824561397,6.9644374464710435
SWZ,eSwatini,tree,2012-2024,13285.0,-55,62,9.009258562288265,8.93236351097075
NAM,Namibia,nontree,2012-2016,803661.0,-71,75,-11.4283572302252,14.5053835432126
ZAF,South Africa,nontree,2012-2016,549732.0,-55,64,-0.7402607088544864,9.84936567287908
ZMB,Zambia,nontree,2012-2016,79173.0,-36,84,-3.52982708751721,8.968284766476778
AGO,Angola,nontree,2012-2016,92637.0,-49,45,-0.9334823018879971,9.87113013937981
BWA,Botswana,nontree,2012-2016,578382.0,-63,85,1.0050917905466985,12.5323559855522
ZWE,Zimbabwe,nontree,2012-2016,312774.0,-46,67,-1.896007980202894,10.47331701334562
MOZ,Mozambique,nontree,2012-2016,83220.0,-44,50,-0.6565248738284164,8.759696180855196
SWZ,eSwatini,nontree,2012-2016,13285.0,-44,53,-1.2290553255551346,7.44336531512983
NAM,Namibia,nontree,2016-2020,803661.0,-48,68,5.388692495965359,11.892309283923007
ZAF,South Africa,nontree,2016-2020,549732.0,-53,56,1.4276283716428932,9.74609777909646
ZMB,Zambia,nontree,2016-2020,79173.0,-44,35,-2.56483902340444,10.679497369406937
AGO,Angola,nontree,2016-2020,92637.0,-59,35,-6.738020445394346,10.921907838728128
BWA,Botswana,nontree,2016-2020,578382.0,-50,74,3.9958055402830883,10.63284035478106
ZWE,Zimbabwe,nontree,2016-2020,312774.0,-67,70,2.6718972804644876,10.522777996094442
MOZ,Mozambique,nontree,2016-2020,83220.0,-52,38,0.3680725787070547,8.703520468829188
SWZ,eSwatini,nontree,2016-2020,13285.0,-55,46,-3.740007527286396,7.671668429993266
NAM,Namibia,nontree,2020-2024,803661.0,-57,52,-5.196427349342541,11.391762733714886
ZAF,South Africa,nontree,2020-2024,549732.0,-76,65,-1.6243223970953347,9.601123511109702
ZMB,Zambia,nontree,2020-2024,79173.0,-77,44,-3.3202859560708613,9.911143368463918
AGO,Angola,nontree,2020-2024,92637.0,-44,53,3.0651899349072598,10.774064100743086
BWA,Botswana,nontree,2020-2024,578382.0,-58,60,-6.215945516976678,11.707373073397983
ZWE,Zimbabwe,nontree,2020-2024,312774.0,-91,46,-5.767570194453564,9.647268909863165
MOZ,Mozambique,nontree,2020-2024,83220.0,-83,79,-3.167808219178103,9.282953316748525
SWZ,eSwatini,nontree,2020-2024,13285.0,-59,49,0.9609333835152433,8.103632144133888
NAM,Namibia,nontree,2012-2024,803661.0,-62,85,-11.236092083602147,12.798362666953762
ZAF,South Africa,nontree,2012-2024,549732.0,-80,59,-0.936954734306903,9.965877272100085
ZMB,Zambia,nontree,2012-2024,79173.0,-67,40,-9.414952066992502,10.651383335285093
AGO,Angola,nontree,2012-2024,92637.0,-61,37,-4.606312812375209,10.095234114665619
BWA,Botswana,nontree,2012-2024,578382.0,-70,89,-1.215048186146905,13.900284099406539
ZWE,Zimbabwe,nontree,2012-2024,312774.0,-77,54,-4.991680894191938,10.43168307347854
MOZ,Mozambique,nontree,2012-2024,83220.0,-86,79,-3.4562605142994585,9.330940350699457
SWZ,eSwatini,nontree,2012-2024,13285.0,-68,44,-4.008129469326308,9.6422851898368
NAM,Namibia,bare,2012-2016,803661.0,-77,73,12.02191969001858,14.464421493487011
ZAF,South Africa,bare,2012-2016,549732.0,-55,56,1.496078088959715,9.774569775027862
ZMB,Zambia,bare,2012-2016,79173.0,-82,34,2.795245854015892,7.743821937609338
AGO,Angola,bare,2012-2016,92637.0,-45,49,2.0854626121312254,9.749166039361093
BWA,Botswana,bare,2012-2016,578382.0,-82,61,-1.285747135975935,12.781418037189265
ZWE,Zimbabwe,bare,2012-2016,312774.0,-57,42,-0.5512350770844132,9.335258610712843
MOZ,Mozambique,bare,2012-2016,83220.0,-52,38,-1.8092886325402802,6.556472940349305
SWZ,eSwatini,bare,2012-2016,13285.0,-21,36,2.329996236356784,6.380479831716155
NAM,Namibia,bare,2016-2020,803661.0,-69,45,-6.722660425229019,11.665809447923674
ZAF,South Africa,bare,2016-2020,549732.0,-55,52,-2.5989536719711124,9.330465792989873
ZMB,Zambia,bare,2016-2020,79173.0,-37,35,0.6810781453273528,8.929643745424585
AGO,Angola,bare,2016-2020,92637.0,-38,61,2.6785949458639915,10.941256445577983
BWA,Botswana,bare,2016-2020,578382.0,-80,51,-6.2059745981027845,10.371917397226792
ZWE,Zimbabwe,bare,2016-2020,312774.0,-71,66,-4.062124729037584,9.329150323557203
MOZ,Mozambique,bare,2016-2020,83220.0,-39,47,-2.9254506128334516,7.55607054374354
SWZ,eSwatini,bare,2016-2020,13285.0,-33,26,-2.6992849077907284,5.380316816721572
NAM,Namibia,bare,2020-2024,803661.0,-98,94,6.590811299789225,11.911506748031462
ZAF,South Africa,bare,2020-2024,549732.0,-81,91,-0.4376841806552954,9.485029455748492
ZMB,Zambia,bare,2020-2024,79173.0,-71,44,7.3149179644576074,9.776039797284934
AGO,Angola,bare,2020-2024,92637.0,-90,49,-0.3031833932445893,11.411252438902247
BWA,Botswana,bare,2020-2024,578382.0,-91,93,7.597670743557035,12.295421421146848
ZWE,Zimbabwe,bare,2020-2024,312774.0,-78,51,5.881674947406157,8.825378819713865
MOZ,Mozambique,bare,2020-2024,83220.0,-93,81,1.8033645758231265,8.885084576131108
SWZ,eSwatini,bare,2020-2024,13285.0,-33,16,-4.6466691757621215,5.441898711071383
NAM,Namibia,bare,2012-2024,803661.0,-94,94,11.89007056457887,13.02021913691665
ZAF,South Africa,bare,2012-2024,549732.0,-81,91,-1.5405597636666428,9.723790937178917
ZMB,Zambia,bare,2012-2024,79173.0,-91,55,10.791241963800585,9.26541681523442
AGO,Angola,bare,2012-2024,92637.0,-84,68,4.460874164750623,9.9955922788184
BWA,Botswana,bare,2012-2024,578382.0,-91,93,0.1059490094782109,14.415358134030082
ZWE,Zimbabwe,bare,2012-2024,312774.0,-82,74,1.2683151412841465,9.975382049349554
MOZ,Mozambique,bare,2012-2024,83220.0,-89,81,-2.931374669550583,7.672500012226062
SWZ,eSwatini,bare,2012-2024,13285.0,-35,15,-5.015957847196067,5.387342229644839
NAM,Namibia,lights,2012-2016,803661.0,-19.314151763916016,56.017921447753906,0.0015743998709108547,0.16130350855144066
ZAF,South Africa,lights,2012-2016,549732.0,-101.7840805053711,255.54449462890625,-0.0063572782177049175,0.734250197734009
ZMB,Zambia,lights,2012-2016,79173.0,-24.45795440673828,20.196720123291016,-0.009904977333562912,0.49552564070012756
AGO,Angola,lights,2012-2016,92637.0,-4.700691223144531,24.29315185546875,0.0052196896032860995,0.2312649894640589
BWA,Botswana,lights,2012-2016,578382.0,-20.544666290283203,17.19599723815918,0.0006981778107331217,0.11883080829401688
ZWE,Zimbabwe,lights,2012-2016,312694.0,-20.12842559814453,15.570889472961426,-0.0019660765638858787,0.12810257712302262
MOZ,Mozambique,lights,2012-2016,83220.0,-27.570236206054688,18.096752166748047,0.011769718863736539,0.2739943054207246
SWZ,eSwatini,lights,2012-2016,13285.0,-9.760793685913086,16.765687942504883,0.009952660612684903,0.6065928205546629
NAM,Namibia,lights,2016-2020,803661.0,-52.21367263793945,20.65488624572754,0.0031774039383307105,0.16897932743174982
ZAF,South Africa,lights,2016-2020,549732.0,-197.99655151367188,65.4290771484375,0.02416386531053826,0.7677154033415053
ZMB,Zambia,lights,2016-2020,79173.0,-23.244739532470703,18.895034790039062,-0.0012008782056915413,0.48575034047656523
AGO,Angola,lights,2016-2020,92637.0,-20.20810317993164,3.743110179901123,-0.0018124974934678323,0.14858254447898658
BWA,Botswana,lights,2016-2020,578382.0,-19.404809951782227,24.07769775390625,0.007295020611663295,0.16612912274311278
ZWE,Zimbabwe,lights,2016-2020,312694.0,-15.570889472961426,34.351810455322266,0.00184967586078644,0.16292339894156654
MOZ,Mozambique,lights,2016-2020,83220.0,-14.752983093261719,17.283288955688477,0.027623722738758946,0.4108876705775086
SWZ,eSwatini,lights,2016-2020,13285.0,-19.958703994750977,10.486202239990234,0.0037966625878533733,0.6754322401321058
NAM,Namibia,lights,2020-2024,803661.0,-22.007282257080078,29.1655216217041,0.0026656131504170883,0.12303712522894582
ZAF,South Africa,lights,2020-2024,549732.0,-229.31591796875,94.97782135009766,0.0334510709435847,0.7578153825581796
ZMB,Zambia,lights,2020-2024,79173.0,-17.82960319519043,47.095558166503906,0.012710245931797846,0.5392524439251638
AGO,Angola,lights,2020-2024,92637.0,-7.184857368469238,18.06983184814453,0.0010778853271625301,0.10090119946691123
BWA,Botswana,lights,2020-2024,578382.0,-14.87997817993164,30.044353485107422,0.008525290271374686,0.17886985387857918
ZWE,Zimbabwe,lights,2020-2024,312694.0,-46.31507110595703,651.6328125,0.018956795348230554,1.317844440572847
MOZ,Mozambique,lights,2020-2024,83220.0,-11.067970275878906,32.413368225097656,0.054373190884461096,0.5207632480689129
SWZ,eSwatini,lights,2020-2024,13285.0,-10.935415267944336,33.071224212646484,0.15024500522548045,0.8423522901953917
NAM,Namibia,lights,2012-2024,803661.0,-47.507225036621094,29.61191177368164,0.007417416972428927,0.22495821877878383
ZAF,South Africa,lights,2012-2024,549732.0,-163.7893524169922,95.20162200927734,0.05125765803414624,1.133457103800531
ZMB,Zambia,lights,2012-2024,79173.0,-52.89866638183594,49.042503356933594,0.001604390503048642,1.1406660588803672
AGO,Angola,lights,2012-2024,92637.0,-10.563819885253906,18.347625732421875,0.004485077456543627,0.19360402950671451
BWA,Botswana,lights,2012-2024,578382.0,-17.91289520263672,39.89246368408203,0.01651848868722819,0.2743981247492726
ZWE,Zimbabwe,lights,2012-2024,312694.0,-24.606157302856445,652.6679077148438,0.018840394670012126,1.3422566579136357
MOZ,Mozambique,lights,2012-2024,83220.0,-46.492584228515625,32.413368225097656,0.0937666323344437,0.9609549523900931
SWZ,eSwatini,lights,2012-2024,13285.0,-27.544857025146484,33.77655029296875,0.16399432822492693,0.9910574664856544
