from_core,to_core,effective_resistance_2012,effective_resistance_2016,effective_resistance_2020,effective_resistance_2024,absolute_change_2012_2024,percent_change_2012_2024,direction,selected_neighbor_link
13,43,1.027344401,1.003464326,0.953273576,0.987566572,-0.039777829,-3.871907915,decrease,no
13,45,1.096772528,1.076480851,1.018654186,1.058633122,-0.038139406,-3.477421715,decrease,no
13,49,1.234787704,1.209591596,1.153735335,1.19619926,-0.038588444,-3.125107602,decrease,no
13,50,1.216906153,1.218578611,1.152106341,1.224615398,0.007709246,0.633511918,increase,no
13,53,1.642343223,1.61673665,1.547941892,1.605286516,-0.037056707,-2.256331478,decrease,no
17,18,0.717163765,0.715932599,0.671888663,0.719501994,0.002338229,0.326038426,increase,no
17,24,0.276012119,0.268444234,0.252802944,0.260060068,-0.01595205,-5.779474551,decrease,yes
17,26,0.979532954,0.945217546,0.903666708,0.941444419,-0.038088535,-3.88843833,decrease,no
17,27,0.94175358,0.887740756,0.858009263,0.889687198,-0.052066382,-5.528663046,decrease,no
17,28,0.70114614,0.691053713,0.645512402,0.690489065,-0.010657075,-1.519950607,decrease,no
17,30,0.720262955,0.714527962,0.656479425,0.714158116,-0.00610484,-0.847584829,decrease,no
17,31,1.378213213,1.32695905,1.275991813,1.323951465,-0.054261749,-3.937108438,decrease,no
17,32,1.420576766,1.375234126,1.325205273,1.372525715,-0.048051052,-3.382502986,decrease,no
17,33,0.788814467,0.785850373,0.737640538,0.793987715,0.005173248,0.655825714,increase,no
17,36,0.770203746,0.762700473,0.702159652,0.756624669,-0.013579077,-1.763049928,decrease,no
17,38,0.696638791,0.682464743,0.64074825,0.693090203,-0.003548588,-0.509387066,decrease,no
17,40,0.928174282,0.88929519,0.844595126,0.9272814,-0.000892882,-0.096197703,decrease,no
17,41,0.997562989,0.965394491,0.922577583,0.95368974,-0.043873249,-4.398042981,decrease,no
17,42,0.669813349,0.660212706,0.621328536,0.662129992,-0.007683357,-1.147089259,decrease,no
17,43,1.056744556,1.042857092,0.984680483,1.020542953,-0.036201603,-3.425766679,decrease,no
17,45,1.117996869,1.107535203,1.042652821,1.084078522,-0.033918347,-3.033849932,decrease,no
17,49,1.262569942,1.247322209,1.183921996,1.227375912,-0.03519403,-2.787491529,decrease,no
17,50,1.211381041,1.223316365,1.1516617,1.223027477,0.011646436,0.961418055,increase,no
17,53,1.659223855,1.643945306,1.568308933,1.625990621,-0.033233234,-2.002938522,decrease,no
18,24,0.095918495,0.09799463,0.093782606,0.10429611,0.008377614,8.734096969,increase,yes
18,26,0.973835182,0.964025375,0.917471743,0.977538075,0.003702893,0.380238118,increase,no
18,27,0.937458715,0.908914029,0.872776149,0.928432925,-0.00902579,-0.962793314,decrease,no
18,28,0.402726696,0.417831767,0.388779217,0.427330709,0.024604014,6.109357512,increase,yes
18,30,0.66294114,0.681635277,0.621624847,0.699259808,0.036318668,5.478415168,increase,no
18,31,1.376689405,1.348832248,1.293713577,1.363446234,-0.013243171,-0.961957782,decrease,no
18,32,1.418090709,1.396094793,1.342001758,1.410811999,-0.007278709,-0.51327531,decrease,no
18,33,0.372574899,0.388480872,0.365027285,0.408314061,0.035739161,9.592476978,increase,yes
18,36,0.649080106,0.660656196,0.608272077,0.675854739,0.026774633,4.125012123,increase,no
18,38,0.37360061,0.389973287,0.363127928,0.407908529,0.034307919,9.183046916,increase,no
18,40,0.70171595,0.688353673,0.655175178,0.743832566,0.042116617,6.0019466,increase,no
18,41,0.90551672,0.900986402,0.858368967,0.905454521,-6.22E-05,-0.006868877,decrease,no
18,42,0.164025078,0.176728279,0.163424204,0.183391943,0.019366865,11.80725856,increase,no
18,43,0.876050998,0.889681663,0.83668336,0.883900177,0.00784918,0.895972909,increase,no
18,45,0.89417653,0.912102082,0.854792016,0.90588762,0.01171109,1.309706755,increase,no
18,49,1.027165473,1.041397356,0.985232769,1.036335832,0.009170359,0.89278303,increase,no
18,50,0.809414109,0.849171433,0.796471666,0.85686773,0.047453621,5.862712332,increase,no
18,53,1.366784491,1.382176756,1.317389016,1.377002848,0.010218356,0.74762015,increase,no
24,26,0.710379236,0.685101172,0.65652214,0.688585777,-0.021793459,-3.067862661,decrease,no
24,27,0.657059084,0.613412976,0.5961208,0.622245193,-0.034813892,-5.298441606,decrease,no
24,28,0.12262998,0.125417474,0.114644731,0.121226722,-0.001403259,-1.144303151,decrease,yes
24,30,0.332513395,0.340510869,0.304124881,0.349759708,0.017246313,5.186652171,increase,no
24,31,1.116206979,1.073107528,1.035471478,1.07744788,-0.038759099,-3.472393562,decrease,no
24,32,1.158992996,1.121776797,1.085062632,1.126291795,-0.032701201,-2.821518459,decrease,no
24,33,0.207147632,0.214952013,0.20381554,0.224942356,0.017794724,8.590358622,increase,yes
24,36,0.383651837,0.387941622,0.349468421,0.392692945,0.009041108,2.356591775,increase,no
