from_core,to_core,worst_year,worst_min_directional_overlap_1km_pct,worst_min_directional_overlap_5km_pct,max_abs_cost_change_pct,max_endpoint_shift_km,previous_priority_eligible,previous_importance_rank
17,24,2020,0.0,29.19802277945865,1.3392292289908125,10.049875612063968,yes,3
24,28,2016,0.0,0.0,0.41632064313346095,16.000000007178635,yes,22
30,36,2012,0.0,100.0,0.42970846532448537,4.000000007171184,yes,25
42,50,2024,2.6441172712129686,83.9023752240824,0.4232941083214259,3.9999999928213654,yes,11
43,45,2024,8.73381707996714,21.085299645742452,0.7047610787704994,9.055385147392343,yes,26
27,41,2012,19.117201717785832,34.86231984856593,0.42246922462840786,2.053227908740045e-08,yes,5
24,33,2012,19.287522621264916,100.0,0.4261800678274863,2.0530534005854702e-08,yes,23
30,41,2020,24.44101803104525,89.35687917357282,0.2196835729266322,2.0530534005854702e-08,not_in_priority_table,
24,38,2024,27.526973300480893,91.0786487724149,0.3015962292930663,2.000000007174909,yes,2
1,9,2024,30.69674233011758,47.52808068183468,0.6865325039342007,1.0000000071786346,not_in_priority_table,
13,17,2016,44.551427450285566,50.01520082393354,0.5877384480493797,3.999999980765395,not_in_priority_table,
28,33,2016,45.02581458837232,100.0,0.4901335139276819,2.0000000192373992,yes,31
36,41,2024,51.6849223540329,96.78910396410086,0.3126457904114588,3.000000019234605,yes,19
33,38,2024,52.39240240169159,91.57865651476415,0.5271518060006919,0.9999999928213659,yes,7
45,50,2024,54.89143576854728,92.61850327300493,0.36182892353380236,2.053227908740045e-08,yes,16
28,38,2020,55.00100451667442,100.0,0.5636297285064318,1.9999999928288161,not_in_priority_table,
36,43,2016,56.14704497898396,79.57279623558138,0.8730955093245729,9.00000000717491,yes,24
18,28,2024,57.4822193072979,100.0,0.6689218109462658,2.053140654404533e-08,yes,20
40,43,2020,61.24161000923803,100.0,0.2552428955649888,0.9999999807644635,yes,10
1,13,2024,63.746970468093565,74.98240304615028,0.7068107952959091,1.0000000071786346,not_in_priority_table,
50,53,2016,66.69244646738026,72.13368325309752,0.3114710883609151,2.0530976922847057e-08,yes,18
36,40,2016,68.44934236335908,100.0,0.6711671051521151,2.0529231730611176e-08,yes,12
40,45,2012,68.59810992406793,100.0,0.43070663675282006,2.053227908740045e-08,not_in_priority_table,
30,40,2024,69.63798816693023,100.0,0.058112586309766456,1.0000000071749093,yes,4
43,49,2012,70.11498211315417,100.0,0.34608224237138163,1.9999999928213656,yes,13
26,31,2012,71.42857142176995,100.0,0.10770790764662586,2.053140654404533e-08,yes,29
1,17,2016,73.06152702060326,93.70261568156954,0.5815808196838468,1.0000000071786346,not_in_priority_table,
27,30,2024,73.83327642099079,94.29085236465203,0.5022794693289034,1.0000000192346052,not_in_priority_table,
41,45,2024,75.05792170530172,100.0,0.2890432879817162,2.053227908740045e-08,yes,6
18,33,2012,82.43139702887319,100.0,0.5194533386514433,2.053140654404533e-08,yes,21
38,40,2016,82.72752694745857,100.0,0.8722205429871233,2.053140654404533e-08,yes,1
41,43,2012,86.42927304351464,100.0,0.41856453693509543,2.0530534005854702e-08,yes,15
45,49,2012,87.10702701453887,100.0,0.4795260896911291,1.9999999928213656,yes,17
27,32,2012,88.53322017549343,99.99999999834375,0.20503707100818502,2.053227908740045e-08,not_in_priority_table,
26,27,2016,92.56592413751633,100.0,0.38380663449566477,2.053227908740045e-08,yes,9
27,31,2012,92.65732335216221,100.0,0.29941898013599033,2.053227908740045e-08,not_in_priority_table,
49,53,2020,93.27627459733277,99.99999999999999,0.2579797434006492,2.053227908740045e-08,yes,27
26,32,2012,94.22075595513525,99.99999999999999,0.5382812705311935,2.0530534005854702e-08,yes,30
9,17,2012,95.70750314592047,100.0,0.6704279452474537,1.0000000071786346,yes,8
45,53,2020,96.86051091239804,100.0,0.28628869586238004,1.0000000071786346,not_in_priority_table,
9,13,2012,99.99999996238465,99.99999999999999,1.6760241025780553,1.0000000071786346,yes,28
31,32,2012,99.99999998851975,100.0,0.19317382236287983,2.0529661472829227e-08,yes,32
18,24,2012,100.0,100.0,1.962548541150777,2.053227908740045e-08,not_in_priority_table,
38,42,2012,100.0,100.0,0.8303855578218888,2.0530534005854702e-08,not_in_priority_table,
40,42,2012,100.0,100.0,0.3339766417048029,1.0000000071786346,yes,14
